go_term,go_term_label,method_count,method_total,term_total,total_annotations,fold_enrichment,p_value,p_adjusted,method_name
GO:0005765,lysosomal membrane,35,95621,35,2601781,27.209305487288358,6.057391199519334e-51,9.086086799279002e-51,UniProt Subcellular
GO:0005814,centriole,5,95621,5,2601781,27.209305487288358,6.704539704622848e-08,8.799708362317488e-08,UniProt Subcellular
GO:0030115,S-layer,589,95621,589,2601781,27.209305487288358,0.0,0.0,UniProt Subcellular
GO:0097589,archaeal-type flagellum,574,95621,574,2601781,27.209305487288358,0.0,0.0,UniProt Subcellular
GO:0140737,encapsulin nanocompartment,79,95621,79,2601781,27.209305487288358,4.4039056290952466e-114,7.114001400846168e-114,UniProt Subcellular
GO:0012505,endomembrane system,2115,95621,2125,2601781,27.08126169675994,0.0,0.0,UniProt Subcellular
GO:0005764,lysosome,172,95621,202,2601781,23.16831952382969,2.70749034153976e-212,4.73810809769458e-212,UniProt Subcellular
GO:0005576,extracellular region,894,95621,1081,2601781,22.50242285442719,0.0,0.0,UniProt Subcellular
GO:0031411,gas vesicle,313,95621,460,2601781,18.514157864176642,0.0,0.0,UniProt Subcellular
GO:0005886,plasma membrane,35855,95621,61270,2601781,15.922794977096851,0.0,0.0,UniProt Subcellular
GO:0009295,nucleoid,33,95621,61,2601781,14.719788214434686,3.114159950629218e-31,4.359823930880905e-31,UniProt Subcellular
GO:0009986,cell surface,263,95621,510,2601781,14.031465378738897,3.108589549057961e-230,5.934580048201562e-230,UniProt Subcellular
GO:0042597,periplasmic space,370,95621,929,2601781,10.83686009719773,3.161956234153268e-271,6.640108091721864e-271,UniProt Subcellular
GO:0005737,cytoplasm,34116,95621,94433,2601781,9.829960564678975,0.0,0.0,UniProt Subcellular
GO:0005694,chromosome,544,95621,1606,2601781,9.216601609641884,0.0,0.0,UniProt Subcellular
GO:0016020,membrane,19629,95621,63027,2601781,8.474010462341269,0.0,0.0,UniProt Subcellular
