go_term,go_term_label,method_count,method_total,term_total,total_annotations,fold_enrichment,p_value,p_adjusted,method_name
GO:0015755,fructose transmembrane transport,358,110489,358,7890361,71.4130908959263,0.0,0.0,Logical Inference
GO:0015767,lactose transport,114,110489,114,7890361,71.4130908959263,4.4091593323451237e-212,9.120315879234434e-212,Logical Inference
GO:0098655,monoatomic cation transmembrane transport,4903,110489,4903,7890361,71.4130908959263,0.0,0.0,Logical Inference
GO:0035873,lactate transmembrane transport,230,110489,230,7890361,71.4130908959263,0.0,0.0,Logical Inference
GO:0001172,RNA-templated transcription,36,110489,36,7890361,71.41309089592629,1.826233039161242e-67,3.447014861416844e-67,Logical Inference
GO:0046836,glycolipid transport,16,110489,16,7890361,71.41309089592629,2.1831803545801994e-30,3.746139017518297e-30,Logical Inference
GO:0015741,fumarate transport,2,110489,2,7890361,71.41309089592629,0.00019608323507163333,0.0002597242850510231,Logical Inference
GO:0015752,D-ribose transmembrane transport,4,110489,4,7890361,71.41309089592629,3.84472625961191e-08,5.3754969000129484e-08,Logical Inference
GO:0070400,teichoic acid D-alanylation,48,110489,48,7890361,71.41309089592629,1.0334555477575004e-89,2.0266465936543187e-89,Logical Inference
GO:0015770,sucrose transport,2,110489,2,7890361,71.41309089592629,0.00019608323507163333,0.0002597242850510231,Logical Inference
GO:0015797,mannitol transmembrane transport,124,110489,124,7890361,71.41309089592629,1.2646850388488018e-230,2.7281062980881294e-230,Logical Inference
GO:0061615,glycolytic process through fructose-6-phosphate,362,110489,362,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0046940,nucleoside monophosphate phosphorylation,1261,110489,1261,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0046710,GDP metabolic process,553,110489,553,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0015698,inorganic anion transport,23,110489,23,7890361,71.41309089592629,2.30212710554838e-43,4.138347534973874e-43,Logical Inference
GO:0015837,amine transport,190,110489,190,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0035821,modulation of process of another organism,149,110489,149,7890361,71.41309089592629,5.550744863555864e-277,1.3096288662452118e-276,Logical Inference
GO:0015856,cytosine transport,234,110489,234,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0015861,cytidine transport,13,110489,13,7890361,71.41309089592629,7.954005613423055e-25,1.2914568254052487e-24,Logical Inference
GO:0015862,uridine transmembrane transport,13,110489,13,7890361,71.41309089592629,7.954005613423055e-25,1.2914568254052487e-24,Logical Inference
GO:0035672,oligopeptide transmembrane transport,4628,110489,4628,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0035524,proline transmembrane transport,93,110489,93,7890361,71.41309089592629,3.820121476458869e-173,7.795112742503908e-173,Logical Inference
GO:0019249,lactate biosynthetic process,16,110489,16,7890361,71.41309089592629,2.1831803545801994e-30,3.746139017518297e-30,Logical Inference
GO:0035442,dipeptide transmembrane transport,170,110489,170,7890361,71.41309089592629,6.3396703e-316,1.51950827e-315,Logical Inference
GO:0019722,calcium-mediated signaling,4,110489,4,7890361,71.41309089592629,3.84472625961191e-08,5.3754969000129484e-08,Logical Inference
GO:0070476,rRNA (guanine-N7)-methylation,877,110489,877,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0010498,proteasomal protein catabolic process,122,110489,122,7890361,71.41309089592629,6.463802856271958e-227,1.3746961004184023e-226,Logical Inference
GO:0030505,inorganic diphosphate transport,10,110489,10,7890361,71.41309089592629,2.8976590697570608e-19,4.55777624513871e-19,Logical Inference
GO:0106004,tRNA (guanine-N7)-methylation,364,110489,364,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:1904981,maltose transmembrane transport,395,110489,395,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:1903830,magnesium ion transmembrane transport,915,110489,915,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:1903352,L-ornithine transmembrane transport,8,110489,8,7890361,71.41309089592629,1.4779809473879262e-15,2.254294172278554e-15,Logical Inference
GO:1902476,chloride transmembrane transport,636,110489,636,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0006170,dAMP biosynthetic process,6,110489,6,7890361,71.41309089592629,7.538325425617052e-12,1.0840829897792141e-11,Logical Inference
GO:1902047,polyamine transmembrane transport,368,110489,368,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:1901553,malonic acid transmembrane transport,6,110489,6,7890361,71.41309089592629,7.538325425617052e-12,1.0840829897792141e-11,Logical Inference
GO:0120009,intermembrane lipid transfer,4,110489,4,7890361,71.41309089592629,3.84472625961191e-08,5.3754969000129484e-08,Logical Inference
GO:0106074,aminoacyl-tRNA metabolism involved in translational fidelity,4908,110489,4908,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0106005,RNA 5'-cap (guanine-N7)-methylation,2,110489,2,7890361,71.41309089592629,0.00019608323507163333,0.0002597242850510231,Logical Inference
GO:0099116,tRNA 5'-end processing,7,110489,7,7890361,71.41309089592629,1.0555378157413233e-13,1.5938621017693981e-13,Logical Inference
GO:0010248,establishment or maintenance of transmembrane electrochemical gradient,170,110489,170,7890361,71.41309089592629,6.3396703e-316,1.51950827e-315,Logical Inference
GO:0098656,monoatomic anion transmembrane transport,270,110489,270,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0006657,CDP-choline pathway,6,110489,6,7890361,71.41309089592629,7.538325425617052e-12,1.0840829897792141e-11,Logical Inference
GO:0006761,dihydrofolate biosynthetic process,531,110489,531,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0071934,thiamine transmembrane transport,285,110489,285,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0071806,protein transmembrane transport,117,110489,117,7890361,71.41309089592629,1.2069367402198872e-217,2.531214552405597e-217,Logical Inference
GO:0071423,malate transmembrane transport,2,110489,2,7890361,71.41309089592629,0.00019608323507163333,0.0002597242850510231,Logical Inference
GO:0071267,L-methionine salvage,1858,110489,1858,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0009157,deoxyribonucleoside monophosphate biosynthetic process,323,110489,323,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0009224,CMP biosynthetic process,138,110489,138,7890361,71.41309089592629,1.3867805848731295e-256,3.12543087038571e-256,Logical Inference
GO:0070574,cadmium ion transmembrane transport,2026,110489,2026,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:0035434,copper ion transmembrane transport,1168,110489,1168,7890361,71.41309089592629,0.0,0.0,Logical Inference
GO:2000142,regulation of DNA-templated transcription initiation,8050,110489,8051,7890361,71.40422080638513,0.0,0.0,Logical Inference
GO:0042908,xenobiotic transport,5705,110489,5709,7890361,71.36305544951121,0.0,0.0,Logical Inference
GO:1902475,L-alpha-amino acid transmembrane transport,520,110489,521,7890361,71.27602162357326,0.0,0.0,Logical Inference
GO:0015889,cobalamin transport,761,110489,763,7890361,71.2259006183485,0.0,0.0,Logical Inference
GO:0006338,chromatin remodeling,498,110489,501,7890361,70.98546759714829,0.0,0.0,Logical Inference
GO:0046901,tetrahydrofolylpolyglutamate biosynthetic process,1034,110489,1041,7890361,70.93288759499308,0.0,0.0,Logical Inference
GO:0098869,cellular oxidant detoxification,5691,110489,5752,7890361,70.65575457036101,0.0,0.0,Logical Inference
GO:0035725,sodium ion transmembrane transport,2543,110489,2582,7890361,70.33442685838132,0.0,0.0,Logical Inference
GO:0006869,lipid transport,1247,110489,1275,7890361,69.84480340958439,0.0,0.0,Logical Inference
GO:0001676,long-chain fatty acid metabolic process,254,110489,260,7890361,69.76509649063568,0.0,0.0,Logical Inference
GO:0019805,quinolinate biosynthetic process,321,110489,332,7890361,69.0469945108203,0.0,0.0,Logical Inference
GO:0034219,carbohydrate transmembrane transport,195,110489,202,7890361,68.93837982527538,0.0,0.0,Logical Inference
GO:0002943,tRNA dihydrouridine synthesis,662,110489,692,7890361,68.31714764899307,0.0,0.0,Logical Inference
GO:0015847,putrescine transport,330,110489,346,7890361,68.11075143253086,0.0,0.0,Logical Inference
GO:0035444,nickel cation transmembrane transport,351,110489,378,7890361,66.31215583193155,0.0,0.0,Logical Inference
GO:0015706,nitrate transmembrane transport,20,110489,22,7890361,64.92099172356936,1.886512125183337e-35,3.312364312821906e-35,Logical Inference
GO:1903711,spermidine transmembrane transport,7,110489,8,7890361,62.48645453393551,8.340843852513931e-13,1.2469974472570333e-12,Logical Inference
GO:0008645,hexose transmembrane transport,33,110489,38,7890361,62.016631567514935,3.1205622356081762e-56,5.817344414528823e-56,Logical Inference
GO:0071897,DNA biosynthetic process,5289,110489,6140,7890361,61.51528302093716,0.0,0.0,Logical Inference
GO:0034755,iron ion transmembrane transport,1500,110489,1849,7890361,57.933821711135444,0.0,0.0,Logical Inference
GO:0045893,positive regulation of DNA-templated transcription,964,110489,1242,7890361,55.42851821551767,0.0,0.0,Logical Inference
GO:0046835,carbohydrate phosphorylation,3306,110489,4339,7890361,54.41154148465829,0.0,0.0,Logical Inference
GO:1905039,carboxylic acid transmembrane transport,347,110489,459,7890361,53.98767438101617,0.0,0.0,Logical Inference
GO:0006086,pyruvate decarboxylation to acetyl-CoA,745,110489,1011,7890361,52.623889928254286,0.0,0.0,Logical Inference
GO:0071266,'de novo' L-methionine biosynthetic process,697,110489,952,7890361,52.284584405946035,0.0,0.0,Logical Inference
GO:0006278,RNA-templated DNA biosynthetic process,591,110489,825,7890361,51.15774147817265,0.0,0.0,Logical Inference
GO:0015836,lipid-linked peptidoglycan transport,1447,110489,2147,7890361,48.12982884322559,0.0,0.0,Logical Inference
GO:0035269,protein O-linked glycosylation via mannose,33,110489,55,7890361,42.847854537555776,6.40946051451017e-47,1.166058479145826e-46,Logical Inference
GO:0015823,phenylalanine transport,557,110489,1021,7890361,38.95895360336038,0.0,0.0,Logical Inference
GO:0042780,tRNA 3'-end processing,481,110489,939,7890361,36.581146667668314,0.0,0.0,Logical Inference
GO:0046037,GMP metabolic process,553,110489,1080,7890361,36.566147468006704,0.0,0.0,Logical Inference
GO:0042350,GDP-L-fucose biosynthetic process,13,110489,27,7890361,34.384080801742286,1.3284567047610452e-17,2.0680099218445138e-17,Logical Inference
GO:0071421,manganese ion transmembrane transport,322,110489,672,7890361,34.21877272096468,0.0,0.0,Logical Inference
GO:0071805,potassium ion transmembrane transport,1070,110489,2262,7890361,33.78072823105267,0.0,0.0,Logical Inference
GO:0003333,amino acid transmembrane transport,1268,110489,2818,7890361,32.133356726768824,0.0,0.0,Logical Inference
GO:0015811,L-cystine transport,59,110489,133,7890361,31.679491450072565,4.852759893122174e-72,9.275528403309471e-72,Logical Inference
GO:0071722,detoxification of arsenic-containing substance,72,110489,171,7890361,30.068669850916336,1.808731498913666e-85,3.501518670973892e-85,Logical Inference
GO:0031167,rRNA methylation,1458,110489,3913,7890361,26.608813321303483,0.0,0.0,Logical Inference
GO:0009399,nitrogen fixation,510,110489,1371,7890361,26.56504475340803,0.0,0.0,Logical Inference
GO:0015762,rhamnose transmembrane transport,5,110489,14,7890361,25.50467531997368,9.69888470900852e-07,1.3436069642754922e-06,Logical Inference
GO:0071577,zinc ion transmembrane transport,407,110489,1150,7890361,25.274024343166953,0.0,0.0,Logical Inference
GO:0034220,monoatomic ion transmembrane transport,1000,110489,2895,7890361,24.667734333653293,0.0,0.0,Logical Inference
GO:0006259,DNA metabolic process,1757,110489,5429,7890361,23.111586057127003,0.0,0.0,Logical Inference
GO:0070588,calcium ion transmembrane transport,386,110489,1231,7890361,22.392731994985827,0.0,0.0,Logical Inference
GO:0007186,G protein-coupled receptor signaling pathway,3,110489,10,7890361,21.423927268777888,0.00030606194536393904,0.0004018726413039547,Logical Inference
GO:0006591,ornithine metabolic process,170,110489,630,7890361,19.270199130646777,1.2569278376917619e-160,2.530614713219414e-160,Logical Inference
GO:1902600,proton transmembrane transport,3213,110489,13407,7890361,17.11421354878878,0.0,0.0,Logical Inference
GO:1903785,L-valine transmembrane transport,278,110489,1203,7890361,16.50277578476102,5.4933546648379695e-241,1.2198478741037254e-240,Logical Inference
GO:0019430,removal of superoxide radicals,320,110489,1397,7890361,16.35804515869464,8.640168621018562e-276,2.0071776334981583e-275,Logical Inference
GO:0015803,branched-chain amino acid transport,320,110489,1584,7890361,14.426887049682078,2.828159687343566e-257,6.470486557407249e-257,Logical Inference
GO:0055085,transmembrane transport,18031,110489,95509,7890361,13.481969677668564,0.0,0.0,Logical Inference
GO:0035433,acetate transmembrane transport,8,110489,55,7890361,10.387358675771097,1.001097578645342e-06,1.374233948867697e-06,Logical Inference
