go_term,go_term_label,method_count,method_total,term_total,total_annotations,fold_enrichment,p_value,p_adjusted,method_name
GO:0005507,copper ion binding,19,18734,19,62175,3.3188320700330953,1.2546102242536345e-10,4.347414519497064e-09,InterPro2GO
GO:0000062,fatty-acyl-CoA binding,9,18734,9,62175,3.318832070033095,2.0443219252114427e-05,0.0003412674629896766,InterPro2GO
GO:0016671,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",6,18734,6,62175,3.318832070033095,0.0007479031182798888,0.0076359572835094,InterPro2GO
GO:0016409,palmitoyltransferase activity,22,18734,22,62175,3.318832070033095,3.4243684285330655e-12,1.4239146538282037e-10,InterPro2GO
GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity,10,18734,10,62175,3.318832070033095,6.157695211141823e-06,0.0001163855284948872,InterPro2GO
GO:0016593,Cdc73/Paf1 complex,6,18734,6,62175,3.318832070033095,0.0007479031182798888,0.0076359572835094,InterPro2GO
GO:0016624,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",6,18734,6,62175,3.318832070033095,0.0007479031182798888,0.0076359572835094,InterPro2GO
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",20,18734,20,62175,3.318832070033095,3.7775967480061076e-11,1.416289141424585e-09,InterPro2GO
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",114,18734,114,62175,3.318832070033095,3.1847664492316047e-60,9.10445108674085e-58,InterPro2GO
GO:0006488,dolichol-linked oligosaccharide biosynthetic process,6,18734,6,62175,3.318832070033095,0.0007479031182798888,0.0076359572835094,InterPro2GO
GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",8,18734,8,62175,3.318832070033095,6.786786346503242e-05,0.0009464256325885923,InterPro2GO
GO:0016818,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",8,18734,8,62175,3.318832070033095,6.786786346503242e-05,0.0009464256325885923,InterPro2GO
GO:0016868,intramolecular phosphotransferase activity,6,18734,6,62175,3.318832070033095,0.0007479031182798888,0.0076359572835094,InterPro2GO
GO:0017056,structural constituent of nuclear pore,11,18734,11,62175,3.318832070033095,1.8546880902987134e-06,3.821325822083926e-05,InterPro2GO
GO:0019001,guanyl nucleotide binding,8,18734,8,62175,3.318832070033095,6.786786346503242e-05,0.0009464256325885923,InterPro2GO
GO:0019888,protein phosphatase regulator activity,6,18734,6,62175,3.318832070033095,0.0007479031182798888,0.0076359572835094,InterPro2GO
GO:0016298,lipase activity,30,18734,30,62175,3.318832070033095,2.3088254154268234e-16,1.2279729593211964e-14,InterPro2GO
GO:0015934,large ribosomal subunit,11,18734,11,62175,3.318832070033095,1.8546880902987134e-06,3.821325822083926e-05,InterPro2GO
GO:0015631,tubulin binding,6,18734,6,62175,3.318832070033095,0.0007479031182798888,0.0076359572835094,InterPro2GO
GO:0015276,ligand-gated monoatomic ion channel activity,30,18734,30,62175,3.318832070033095,2.3088254154268234e-16,1.2279729593211964e-14,InterPro2GO
GO:0009166,nucleotide catabolic process,8,18734,8,62175,3.318832070033095,6.786786346503242e-05,0.0009464256325885923,InterPro2GO
