go_term,go_term_label,method_count,method_total,term_total,total_annotations,fold_enrichment,p_value,p_adjusted,method_name
GO:0009891,positive regulation of biosynthetic process,195,3420230,195,56717546,16.58296254930224,1.4575706280296077e-238,4.1892532253645425e-238,ARBA
GO:0043609,regulation of carbon utilization,598,3420230,598,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0034250,positive regulation of amide metabolic process,581,3420230,581,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0072594,establishment of protein localization to organelle,35,3420230,35,56717546,16.58296254930224,2.0500044601355964e-43,3.952332378991092e-43,ARBA
GO:0072655,establishment of protein localization to mitochondrion,108,3420230,108,56717546,16.58296254930224,1.887129057683617e-132,4.4947983010282514e-132,ARBA
GO:0170039,proteinogenic amino acid metabolic process,326,3420230,326,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0072663,establishment of protein localization to peroxisome,1075,3420230,1075,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0160219,cortical endoplasmic reticulum membrane,659,3420230,659,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0160215,deacylase activity,29,3420230,29,56717546,16.58296254930224,4.263341066042688e-36,7.996575669465148e-36,ARBA
GO:0015368,calcium:monoatomic cation antiporter activity,234,3420230,234,56717546,16.58296254930224,3.942857186746044e-286,1.2267214422263629e-285,ARBA
GO:0015291,secondary active transmembrane transporter activity,3,3420230,3,56717546,16.58296254930224,0.00021928719924569417,0.0003476470311608489,ARBA
GO:0015215,nucleotide transmembrane transporter activity,847,3420230,847,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0034593,phosphatidylinositol bisphosphate phosphatase activity,257,3420230,257,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0141124,intracellular signaling cassette,3,3420230,3,56717546,16.58296254930224,0.00021928719924569417,0.0003476470311608489,ARBA
GO:0141052,histone H3 demethylase activity,1260,3420230,1260,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0080090,regulation of primary metabolic process,1324,3420230,1324,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0140993,histone modifying activity,8,3420230,8,56717546,16.58296254930224,1.7486371499255551e-10,2.9487519418460073e-10,ARBA
GO:0015101,organic cation transmembrane transporter activity,1955,3420230,1955,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0080120,CAAX-box protein maturation,1119,3420230,1119,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0090068,positive regulation of cell cycle process,858,3420230,858,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0140735,lovastatin biosynthetic process,58,3420230,58,56717546,16.58296254930224,1.8171877701079234e-71,3.797632543911521e-71,ARBA
GO:0034757,negative regulation of iron ion transport,521,3420230,521,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0140722,mycophenolic acid biosynthetic process,50,3420230,50,56717546,16.58296254930224,1.0393165274183368e-61,2.1273510170594082e-61,ARBA
GO:0140718,facultative heterochromatin formation,132,3420230,132,56717546,16.58296254930224,1.0082506370831607e-161,2.5529357433367108e-161,ARBA
GO:0010948,negative regulation of cell cycle process,405,3420230,405,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0042592,homeostatic process,701,3420230,701,56717546,16.58296254930224,0.0,0.0,ARBA
GO:1900445,positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus,338,3420230,338,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0004690,cyclic nucleotide-dependent protein kinase activity,836,3420230,836,56717546,16.58296254930224,0.0,0.0,ARBA
GO:1901336,lactone biosynthetic process,3996,3420230,3996,56717546,16.58296254930224,0.0,0.0,ARBA
GO:1901991,negative regulation of mitotic cell cycle phase transition,1104,3420230,1104,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0043604,amide biosynthetic process,199,3420230,199,56717546,16.58296254930224,1.9270249696572727e-243,5.590169171884559e-243,ARBA
GO:0033044,regulation of chromosome organization,13,3420230,13,56717546,16.58296254930224,1.3943863882760792e-16,2.427012391901511e-16,ARBA
GO:0016129,phytosteroid biosynthetic process,333,3420230,333,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0043542,endothelial cell migration,13,3420230,13,56717546,16.58296254930224,1.3943863882760792e-16,2.427012391901511e-16,ARBA
GO:0071826,protein-RNA complex organization,200,3420230,200,56717546,16.58296254930224,1.1619875530589734e-244,3.3787231536960104e-244,ARBA
GO:0071889,14-3-3 protein binding,105,3420230,105,56717546,16.58296254930224,8.606486829745194e-129,2.038206062724623e-128,ARBA
GO:1901607,alpha-amino acid biosynthetic process,4110,3420230,4110,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0043436,oxoacid metabolic process,711,3420230,711,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0072329,monocarboxylic acid catabolic process,6,3420230,6,56717546,16.58296254930224,4.8086757114200864e-08,7.931606259592177e-08,ARBA
GO:0001765,membrane raft assembly,85,3420230,85,56717546,16.58296254930224,2.1295793371827727e-104,4.77955182168433e-104,ARBA
GO:0042723,thiamine-containing compound metabolic process,1022,3420230,1022,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0015928,fucosidase activity,769,3420230,769,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0072330,monocarboxylic acid biosynthetic process,12579,3420230,12579,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0043226,organelle,3453,3420230,3453,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0033853,aspartate-prephenate aminotransferase activity,4,3420230,4,56717546,16.58296254930224,1.3223633528306504e-05,2.1220905126985742e-05,ARBA
GO:0033854,glutamate-prephenate aminotransferase activity,4,3420230,4,56717546,16.58296254930224,1.3223633528306504e-05,2.1220905126985742e-05,ARBA
GO:0072350,tricarboxylic acid metabolic process,2,3420230,2,56717546,16.58296254930224,0.0036364333917356835,0.005611334601382589,ARBA
GO:0072521,purine-containing compound metabolic process,2721,3420230,2721,56717546,16.58296254930224,0.0,0.0,ARBA
GO:1901002,positive regulation of response to salt stress,560,3420230,560,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0003006,developmental process involved in reproduction,443,3420230,443,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0072522,purine-containing compound biosynthetic process,665,3420230,665,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0009066,aspartate family amino acid metabolic process,1734,3420230,1734,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0042537,benzene-containing compound metabolic process,252,3420230,252,56717546,16.58296254930224,4.378970634868701e-308,1.4154880402841813e-307,ARBA
GO:0042440,pigment metabolic process,313,3420230,313,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0120025,plasma membrane bounded cell projection,93,3420230,93,56717546,16.58296254930224,3.723165856676188e-114,8.56465787178099e-114,ARBA
GO:0009896,positive regulation of catabolic process,967,3420230,967,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0009893,positive regulation of metabolic process,13780,3420230,13780,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0120545,nucleic acid conformation isomerase activity,2,3420230,2,56717546,16.58296254930224,0.0036364333917356835,0.005611334601382589,ARBA
GO:0120531,prenyl diphosphate synthase activity,3,3420230,3,56717546,16.58296254930224,0.00021928719924569417,0.0003476470311608489,ARBA
GO:0120510,mitochondrial [4Fe-4S] assembly complex,90,3420230,90,56717546,16.58296254930224,1.6979751107585723e-110,3.877302798787235e-110,ARBA
GO:0120254,olefinic compound metabolic process,245,3420230,245,56717546,16.58296254930224,1.510824506080156e-299,4.821079737991677e-299,ARBA
GO:0009892,negative regulation of metabolic process,591,3420230,591,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0051176,positive regulation of sulfur metabolic process,581,3420230,581,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0120115,Lsm2-8 complex,145,3420230,145,56717546,16.58296254930224,1.4052282774369827e-177,3.647146175746246e-177,ARBA
GO:0098588,bounding membrane of organelle,2859,3420230,2859,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0009124,nucleoside monophosphate biosynthetic process,2,3420230,2,56717546,16.58296254930224,0.0036364333917356835,0.005611334601382589,ARBA
GO:0010044,response to aluminum ion,12,3420230,12,56717546,16.58296254930224,2.31231333747291e-15,3.993995764725935e-15,ARBA
GO:0098754,detoxification,69,3420230,69,56717546,16.58296254930224,6.966807292499748e-85,1.4948606337096443e-84,ARBA
GO:0106380,purine ribonucleotide salvage,733,3420230,733,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0009146,purine nucleoside triphosphate catabolic process,3,3420230,3,56717546,16.58296254930224,0.00021928719924569417,0.0003476470311608489,ARBA
GO:0036172,thiamine salvage,4,3420230,4,56717546,16.58296254930224,1.3223633528306504e-05,2.1220905126985742e-05,ARBA
GO:0098796,membrane protein complex,1801,3420230,1801,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0036180,filamentous growth of a population of unicellular organisms in response to biotic stimulus,338,3420230,338,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0098813,nuclear chromosome segregation,3142,3420230,3142,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0099023,vesicle tethering complex,2227,3420230,2227,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0042123,glucanosyltransferase activity,1983,3420230,1983,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0040019,positive regulation of embryonic development,82,3420230,82,56717546,16.58296254930224,9.712027369806345e-101,2.1602534516039315e-100,ARBA
GO:0035825,homologous recombination,115,3420230,115,56717546,16.58296254930224,5.471092409248956e-141,1.3246643002549272e-140,ARBA
GO:0010177,methylthioalkylmalate synthase activity,131,3420230,131,56717546,16.58296254930224,1.6720384357805292e-160,4.2079915739714224e-160,ARBA
GO:0140640,"catalytic activity, acting on a nucleic acid",595,3420230,595,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0010557,positive regulation of macromolecule biosynthetic process,2773,3420230,2773,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0140616,iodotyrosine deiodinase activity,2,3420230,2,56717546,16.58296254930224,0.0036364333917356835,0.005611334601382589,ARBA
GO:0010646,regulation of cell communication,48,3420230,48,56717546,16.58296254930224,2.8581409927787836e-59,5.797810049736261e-59,ARBA
GO:0140535,intracellular protein-containing complex,1168,3420230,1168,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0042364,water-soluble vitamin biosynthetic process,82,3420230,82,56717546,16.58296254930224,9.712027369806345e-101,2.1602534516039315e-100,ARBA
GO:0097240,chromosome attachment to the nuclear envelope,28,3420230,28,56717546,16.58296254930224,7.069936927759893e-35,1.3151773552462162e-34,ARBA
GO:0140352,export from cell,123,3420230,123,56717546,16.58296254930224,9.564537471536094e-151,2.3617196197076722e-150,ARBA
GO:0010605,negative regulation of macromolecule metabolic process,3384,3420230,3384,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0010604,positive regulation of macromolecule metabolic process,1687,3420230,1687,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0140341,phosphatidylethanolamine floppase activity,21,3420230,21,56717546,16.58296254930224,2.438206170030148e-26,4.4135964779673006e-26,ARBA
GO:0140333,glycerophospholipid flippase activity,14,3420230,14,56717546,16.58296254930224,8.408518085157558e-18,1.4769796410696655e-17,ARBA
GO:0140327,flippase activity,32,3420230,32,56717546,16.58296254930224,9.348737675113547e-40,1.7749052687534414e-39,ARBA
GO:0140085,L-amino-acid N-acetyltransferase activity,74,3420230,74,56717546,16.58296254930224,5.554958723947952e-91,1.2033326600440777e-90,ARBA
GO:0042318,penicillin biosynthetic process,30,3420230,30,56717546,16.58296254930224,2.5708959292012846e-37,4.829403749269432e-37,ARBA
GO:0140266,Woronin body,437,3420230,437,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0140115,export across plasma membrane,4147,3420230,4147,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0097308,cellular response to farnesol,108,3420230,108,56717546,16.58296254930224,1.887129057683617e-132,4.4947983010282514e-132,ARBA
GO:0140098,"catalytic activity, acting on RNA",366,3420230,366,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0097435,supramolecular fiber organization,1361,3420230,1361,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0042178,xenobiotic catabolic process,2,3420230,2,56717546,16.58296254930224,0.0036364333917356835,0.005611334601382589,ARBA
GO:0140096,"catalytic activity, acting on a protein",8925,3420230,8925,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0097506,deaminated base DNA N-glycosylase activity,2,3420230,2,56717546,16.58296254930224,0.0036364333917356835,0.005611334601382589,ARBA
GO:0097525,spliceosomal snRNP complex,2051,3420230,2051,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0008238,exopeptidase activity,47,3420230,47,56717546,16.58296254930224,4.7397057134444666e-58,9.598964622264669e-58,ARBA
GO:0043455,regulation of secondary metabolic process,581,3420230,581,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0043651,linoleic acid metabolic process,620,3420230,620,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0062197,cellular response to chemical stress,996,3420230,996,56717546,16.58296254930224,0.0,0.0,ARBA
GO:1905862,ferroxidase complex,4,3420230,4,56717546,16.58296254930224,1.3223633528306504e-05,2.1220905126985742e-05,ARBA
GO:0019301,rhamnose catabolic process,916,3420230,916,56717546,16.58296254930224,0.0,0.0,ARBA
GO:0055029,nuclear DNA-directed RNA polymerase complex,4458,3420230,4458,56717546,16.58296254930224,0.0,0.0,ARBA
