go_term,go_term_label,method_count,method_total,term_total,total_annotations,fold_enrichment,p_value,p_adjusted,method_name
GO:0016714,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen",4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0009190,cyclic nucleotide biosynthetic process,21,40114,21,262673,6.548162736201825,7.237099058121229e-18,2.82770027054062e-16,InterPro2GO
GO:0016717,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0042138,meiotic DNA double-strand break formation,4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0007034,vacuolar transport,13,40114,13,262673,6.548162736201825,2.45319107919098e-11,6.314046563346309e-10,InterPro2GO
GO:0032482,Rab protein signal transduction,13,40114,13,262673,6.548162736201825,2.45319107919098e-11,6.314046563346309e-10,InterPro2GO
GO:0016503,pheromone receptor activity,210,40114,210,262673,6.548162736201825,2.5894225675191076e-172,7.634088533149514e-170,InterPro2GO
GO:0032300,mismatch repair complex,4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0070008,serine-type exopeptidase activity,4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0006623,protein targeting to vacuole,4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0004955,prostaglandin receptor activity,4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0015662,P-type ion transporter activity,4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0009168,purine ribonucleoside monophosphate biosynthetic process,4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0016868,intramolecular phosphotransferase activity,8,40114,8,262673,6.548162736201825,2.9565649309502246e-07,5.019968623597685e-06,InterPro2GO
GO:0019001,guanyl nucleotide binding,17,40114,17,262673,6.548162736201825,1.3326661504718024e-14,4.321836325980055e-13,InterPro2GO
GO:0016715,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen",4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0030116,glial cell-derived neurotrophic factor receptor binding,4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0008641,ubiquitin-like modifier activating enzyme activity,11,40114,11,262673,6.548162736201825,1.0524011694387752e-09,2.3376280770479092e-08,InterPro2GO
GO:0009156,ribonucleoside monophosphate biosynthetic process,4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0009166,nucleotide catabolic process,4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain",4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0007140,male meiotic nuclear division,4,40114,4,262673,6.548162736201825,0.0005438349358200804,0.0048056040786499206,InterPro2GO
GO:0043169,cation binding,15,40114,15,262673,6.548162736201824,5.718007566575474e-13,1.6857725944003876e-11,InterPro2GO
GO:0042773,ATP synthesis coupled electron transport,5,40114,5,262673,6.548162736201824,8.304451334662882e-05,0.0008917660820633022,InterPro2GO
GO:0004935,adrenergic receptor activity,9,40114,9,262673,6.548162736201824,4.5143431030992947e-08,8.511636443808729e-07,InterPro2GO
GO:0007130,synaptonemal complex assembly,6,40114,6,262673,6.548162736201824,1.2680769586574283e-05,0.00016716965759861952,InterPro2GO
GO:0008556,P-type potassium transmembrane transporter activity,6,40114,6,262673,6.548162736201824,1.2680769586574283e-05,0.00016716965759861952,InterPro2GO
GO:0033179,"proton-transporting V-type ATPase, V0 domain",10,40114,10,262673,6.548162736201824,6.892750058982252e-09,1.3970742775799653e-07,InterPro2GO
GO:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain",5,40114,5,262673,6.548162736201824,8.304451334662882e-05,0.0008917660820633022,InterPro2GO
GO:0005042,netrin receptor activity,5,40114,5,262673,6.548162736201824,8.304451334662882e-05,0.0008917660820633022,InterPro2GO
GO:0033014,tetrapyrrole biosynthetic process,5,40114,5,262673,6.548162736201824,8.304451334662882e-05,0.0008917660820633022,InterPro2GO
GO:0016668,"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor",5,40114,5,262673,6.548162736201824,8.304451334662882e-05,0.0008917660820633022,InterPro2GO
GO:0032012,regulation of ARF protein signal transduction,18,40114,18,262673,6.548162736201824,2.0344448493683562e-15,7.018834730320828e-14,InterPro2GO
GO:0016849,phosphorus-oxygen lyase activity,20,40114,20,262673,6.548162736201824,4.74097316031173e-17,1.7275253886394314e-15,InterPro2GO
