go_term,go_term_label,method_count,method_total,term_total,total_annotations,fold_enrichment,p_value,p_adjusted,method_name
GO:0033512,L-lysine catabolic process to acetyl-CoA via saccharopine,3,1110,3,262673,236.64234234234235,7.525804681524021e-08,2.1441443526606172e-07,UniProt UniPathway
GO:0006198,cAMP catabolic process,9,1110,9,262673,236.64234234234235,4.1601223688163116e-22,4.8321421360866395e-21,UniProt UniPathway
GO:0019563,glycerol catabolic process,5,1110,5,262673,236.64234234234235,1.3354769477189682e-12,7.468778485391267e-12,UniProt UniPathway
GO:0008215,spermine metabolic process,1,1110,1,262673,236.64234234234232,0.0042257864342248805,0.0054537927484440765,UniProt UniPathway
GO:0009398,FMN biosynthetic process,1,1110,1,262673,236.64234234234232,0.0042257864342248805,0.0054537927484440765,UniProt UniPathway
GO:0006704,glucocorticoid biosynthetic process,1,1110,1,262673,236.64234234234232,0.0042257864342248805,0.0054537927484440765,UniProt UniPathway
GO:0019483,beta-alanine biosynthetic process,2,1110,2,262673,236.64234234234232,1.7841251277539487e-05,3.285401149888369e-05,UniProt UniPathway
GO:0019518,L-threonine catabolic process to glycine,2,1110,2,262673,236.64234234234232,1.7841251277539487e-05,3.285401149888369e-05,UniProt UniPathway
GO:0019557,L-histidine catabolic process to glutamate and formate,4,1110,4,262673,236.64234234234232,3.1716853018917824e-10,1.2280114886811774e-09,UniProt UniPathway
GO:0033384,geranyl diphosphate biosynthetic process,2,1110,2,262673,236.64234234234232,1.7841251277539487e-05,3.285401149888369e-05,UniProt UniPathway
GO:0033386,geranylgeranyl diphosphate biosynthetic process,1,1110,1,262673,236.64234234234232,0.0042257864342248805,0.0054537927484440765,UniProt UniPathway
GO:0006579,amino-acid betaine catabolic process,2,1110,2,262673,236.64234234234232,1.7841251277539487e-05,3.285401149888369e-05,UniProt UniPathway
GO:0033387,"putrescine biosynthetic process from arginine, via ornithine",1,1110,1,262673,236.64234234234232,0.0042257864342248805,0.0054537927484440765,UniProt UniPathway
GO:0042368,vitamin D biosynthetic process,2,1110,2,262673,236.64234234234232,1.7841251277539487e-05,3.285401149888369e-05,UniProt UniPathway
GO:2001295,malonyl-CoA biosynthetic process,2,1110,2,262673,236.64234234234232,1.7841251277539487e-05,3.285401149888369e-05,UniProt UniPathway
GO:0006045,N-acetylglucosamine biosynthetic process,2,1110,2,262673,236.64234234234232,1.7841251277539487e-05,3.285401149888369e-05,UniProt UniPathway
GO:0045337,farnesyl diphosphate biosynthetic process,2,1110,2,262673,236.64234234234232,1.7841251277539487e-05,3.285401149888369e-05,UniProt UniPathway
GO:0050992,dimethylallyl diphosphate biosynthetic process,2,1110,2,262673,236.64234234234232,1.7841251277539487e-05,3.285401149888369e-05,UniProt UniPathway
GO:0044210,'de novo' CTP biosynthetic process,2,1110,2,262673,236.64234234234232,1.7841251277539487e-05,3.285401149888369e-05,UniProt UniPathway
GO:0046386,deoxyribose phosphate catabolic process,1,1110,1,262673,236.64234234234232,0.0042257864342248805,0.0054537927484440765,UniProt UniPathway
GO:0006119,oxidative phosphorylation,18,1110,19,262673,224.18748221906117,3.0440313707102266e-42,1.1491218424431106e-40,UniProt UniPathway
GO:0016024,CDP-diacylglycerol biosynthetic process,13,1110,15,262673,205.09003003003002,1.3307855646340007e-29,2.5118577532466765e-28,UniProt UniPathway
GO:0044206,UMP salvage,5,1110,6,262673,197.20195195195194,7.98477105455082e-12,3.889356223345722e-11,UniProt UniPathway
GO:0006068,ethanol catabolic process,5,1110,6,262673,197.20195195195194,7.98477105455082e-12,3.889356223345722e-11,UniProt UniPathway
GO:0019556,L-histidine catabolic process to glutamate and formamide,4,1110,5,262673,189.31387387387386,1.5805007431376878e-09,5.682276481280735e-09,UniProt UniPathway
GO:0097053,L-kynurenine catabolic process,4,1110,5,262673,189.31387387387386,1.5805007431376878e-09,5.682276481280735e-09,UniProt UniPathway
GO:0046069,cGMP catabolic process,3,1110,4,262673,177.48175675675674,3.0008068167976173e-07,7.552030488940671e-07,UniProt UniPathway
GO:0019628,urate catabolic process,3,1110,4,262673,177.48175675675674,3.0008068167976173e-07,7.552030488940671e-07,UniProt UniPathway
GO:0030210,heparin proteoglycan biosynthetic process,5,1110,7,262673,169.03024453024454,2.7848735675830813e-11,1.2742906324395312e-10,UniProt UniPathway
GO:0042853,L-alanine catabolic process,2,1110,3,262673,157.76156156156156,5.33732377382184e-05,9.055459436484245e-05,UniProt UniPathway
GO:0044211,CTP salvage,2,1110,3,262673,157.76156156156156,5.33732377382184e-05,9.055459436484245e-05,UniProt UniPathway
GO:0010133,L-proline catabolic process to L-glutamate,2,1110,3,262673,157.76156156156156,5.33732377382184e-05,9.055459436484245e-05,UniProt UniPathway
GO:0006235,dTTP biosynthetic process,2,1110,3,262673,157.76156156156156,5.33732377382184e-05,9.055459436484245e-05,UniProt UniPathway
GO:0006655,phosphatidylglycerol biosynthetic process,2,1110,3,262673,157.76156156156156,5.33732377382184e-05,9.055459436484245e-05,UniProt UniPathway
GO:0019285,glycine betaine biosynthetic process from choline,2,1110,3,262673,157.76156156156156,5.33732377382184e-05,9.055459436484245e-05,UniProt UniPathway
GO:0016567,protein ubiquitination,428,1110,651,262673,155.5805261482681,0.0,0.0,UniProt UniPathway
GO:0044205,'de novo' UMP biosynthetic process,3,1110,5,262673,141.9854054054054,7.478309530288864e-07,1.7924202207517753e-06,UniProt UniPathway
GO:0019262,N-acetylneuraminate catabolic process,4,1110,7,262673,135.22419562419563,1.0989111289589658e-08,3.3864404178123235e-08,UniProt UniPathway
GO:0006015,5-phosphoribose 1-diphosphate biosynthetic process,4,1110,7,262673,135.22419562419563,1.0989111289589658e-08,3.3864404178123235e-08,UniProt UniPathway
GO:0006646,phosphatidylethanolamine biosynthetic process,8,1110,14,262673,135.22419562419563,2.911704295475049e-16,2.4425963812040685e-15,UniProt UniPathway
GO:0055129,L-proline biosynthetic process,5,1110,9,262673,131.46796796796798,1.659232022554276e-10,6.771460416370153e-10,UniProt UniPathway
GO:0046486,glycerolipid metabolic process,12,1110,22,262673,129.07764127764128,1.9009228876999612e-23,2.6094486912972197e-22,UniProt UniPathway
GO:0006782,protoporphyrinogen IX biosynthetic process,8,1110,15,262673,126.20924924924924,6.21610396715333e-16,4.693158495200764e-15,UniProt UniPathway
GO:0019318,hexose metabolic process,6,1110,12,262673,118.32117117117117,5.0799644514260584e-12,2.7395522577333387e-11,UniProt UniPathway
GO:0006048,UDP-N-acetylglucosamine biosynthetic process,7,1110,14,262673,118.32117117117117,7.897932214147533e-14,5.185164192766424e-13,UniProt UniPathway
GO:0044209,AMP salvage,2,1110,4,262673,118.32117117117116,0.00010644639479111997,0.00016919374329956962,UniProt UniPathway
GO:0019287,"isopentenyl diphosphate biosynthetic process, mevalonate pathway",2,1110,4,262673,118.32117117117116,0.00010644639479111997,0.00016919374329956962,UniProt UniPathway
GO:0042351,'de novo' GDP-L-fucose biosynthetic process,2,1110,4,262673,118.32117117117116,0.00010644639479111997,0.00016919374329956962,UniProt UniPathway
GO:0006552,L-leucine catabolic process,4,1110,8,262673,118.32117117117116,2.1904219577557484e-08,6.615074312422359e-08,UniProt UniPathway
GO:0042412,taurine biosynthetic process,2,1110,4,262673,118.32117117117116,0.00010644639479111997,0.00016919374329956962,UniProt UniPathway
GO:0008207,C21-steroid hormone metabolic process,2,1110,4,262673,118.32117117117116,0.00010644639479111997,0.00016919374329956962,UniProt UniPathway
GO:0017183,protein histidyl modification to diphthamide,7,1110,15,262673,110.43309309309309,1.4754231992151642e-13,9.282870961728742e-13,UniProt UniPathway
