go_term,go_term_label,method_count,method_total,term_total,total_annotations,fold_enrichment,p_value,p_adjusted,method_name
GO:0120149,host cell peroxisome,2,18780,2,414490,22.070820021299255,0.0020527732666523503,0.0021647427175606605,UniProt Subcellular
GO:0044160,host thylakoid membrane,30,18780,30,414490,22.070820021299255,4.740639259244692e-41,8.592408657381005e-41,UniProt Subcellular
GO:0044199,host cell nuclear envelope,9,18780,9,414490,22.070820021299255,8.03228034284421e-13,1.1362738045974736e-12,UniProt Subcellular
GO:0044192,host cell mitochondrial inner membrane,5,18780,5,414490,22.070820021299255,1.908476687211944e-07,2.406340170832451e-07,UniProt Subcellular
GO:0044191,host cell mitochondrial membrane,4,18780,4,414490,22.070820021299255,4.2130212408584324e-06,4.887104639395782e-06,UniProt Subcellular
GO:0044188,host cell lysosomal membrane,4,18780,4,414490,22.070820021299255,4.2130212408584324e-06,4.887104639395782e-06,UniProt Subcellular
GO:0044185,host cell late endosome membrane,9,18780,9,414490,22.070820021299255,8.03228034284421e-13,1.1362738045974736e-12,UniProt Subcellular
GO:0044174,host cell endosome,36,18780,36,414490,22.070820021299255,4.060850989063909e-49,7.597721205345379e-49,UniProt Subcellular
GO:0005604,basement membrane,2,18780,2,414490,22.070820021299255,0.0020527732666523503,0.0021647427175606605,UniProt Subcellular
GO:0044203,host cell nuclear lamina,8,18780,8,414490,22.070820021299255,1.773511411193995e-11,2.3921781825407374e-11,UniProt Subcellular
GO:0044162,host cell cytoplasmic vesicle membrane,43,18780,43,414490,22.070820021299255,1.5698350375348413e-58,3.1396700750696825e-58,UniProt Subcellular
GO:0044161,host cell cytoplasmic vesicle,13,18780,13,414490,22.070820021299255,3.3778273491789272e-18,5.2949726014156154e-18,UniProt Subcellular
GO:0044201,host cell nuclear inner membrane,112,18780,112,414490,22.070820021299255,2.2636661945355875e-151,7.723096428415534e-151,UniProt Subcellular
GO:0072494,host multivesicular body,46,18780,46,414490,22.070820021299255,1.4503766277089518e-62,3.004351585968543e-62,UniProt Subcellular
GO:0044229,host cell periplasmic space,86,18780,86,414490,22.070820021299255,2.2427958607192038e-116,6.846429469563886e-116,UniProt Subcellular
GO:0033648,host intracellular membrane-bounded organelle,50,18780,50,414490,22.070820021299255,6.053500958166965e-68,1.404412222294736e-67,UniProt Subcellular
GO:0044171,host cell smooth endoplasmic reticulum membrane,3,18780,3,414490,22.07082002129925,9.299901661982557e-05,0.00010177250875377137,UniProt Subcellular
GO:0044200,host cell nuclear membrane,53,18780,53,414490,22.07082002129925,5.58686956103279e-72,1.3501601439162575e-71,UniProt Subcellular
GO:0044158,host cell wall,3,18780,3,414490,22.07082002129925,9.299901661982557e-05,0.00010177250875377137,UniProt Subcellular
GO:0044193,host cell mitochondrial outer membrane,12,18780,12,414490,22.07082002129925,7.459692689851388e-17,1.1385846737141591e-16,UniProt Subcellular
GO:0044176,host cell filopodium,3,18780,3,414490,22.07082002129925,9.299901661982557e-05,0.00010177250875377137,UniProt Subcellular
GO:0044219,host cell plasmodesma,93,18780,95,414490,21.606171178745587,3.4709675207850246e-122,1.1184228678085078e-121,UniProt Subcellular
GO:0033645,host cell endomembrane system,83,18780,85,414490,21.55150660903339,7.959364187543689e-109,2.3082156143876695e-108,UniProt Subcellular
GO:0044220,host cell perinuclear region of cytoplasm,231,18780,242,414490,21.067600929422017,1.9574408537484666e-293,1.0321051774310098e-292,UniProt Subcellular
GO:0044167,host cell endoplasmic reticulum membrane,651,18780,706,414490,20.351421860999736,0.0,0.0,UniProt Subcellular
GO:0044172,host cell endoplasmic reticulum-Golgi intermediate compartment,206,18780,225,414490,20.207061886167317,3.941638370600192e-251,1.9051252124567595e-250,UniProt Subcellular
GO:0044177,host cell Golgi apparatus,474,18780,523,414490,20.00299940744904,0.0,0.0,UniProt Subcellular
GO:0044228,host cell surface,19,18780,22,414490,19.061162745667538,3.9258457433843235e-23,6.697030974008552e-23,UniProt Subcellular
GO:0044175,host cell endosome membrane,138,18780,160,414490,19.036082268370606,4.897163744213826e-160,1.8935699810960126e-159,UniProt Subcellular
GO:0030430,host cell cytoplasm,3763,18780,4448,414490,18.671874042299706,0.0,0.0,UniProt Subcellular
GO:0033650,host cell mitochondrion,75,18780,89,414490,18.59900563592634,5.726782398185949e-86,1.5097880867944776e-85,UniProt Subcellular
GO:0044156,host cell junction,55,18780,66,414490,18.39235001774938,7.436679598908285e-63,1.5975089508765947e-62,UniProt Subcellular
GO:0055036,virion membrane,1854,18780,2237,414490,18.292043057438004,0.0,0.0,UniProt Subcellular
GO:0033644,host cell membrane,953,18780,1178,414490,17.855255925550246,0.0,0.0,UniProt Subcellular
GO:0044178,host cell Golgi membrane,438,18780,574,414490,16.841496810677828,0.0,0.0,UniProt Subcellular
GO:0044165,host cell endoplasmic reticulum,85,18780,113,414490,16.601944263809173,3.6012117689599475e-89,9.94620393331795e-89,UniProt Subcellular
GO:0044163,host cytoskeleton,53,18780,71,414490,16.475400860969867,7.673437150335433e-56,1.4835311823981835e-55,UniProt Subcellular
GO:0020002,host cell plasma membrane,1290,18780,1775,414490,16.040201592944246,0.0,0.0,UniProt Subcellular
GO:0019033,viral tegument,514,18780,727,414490,15.604403701441289,0.0,0.0,UniProt Subcellular
GO:0044173,host cell endoplasmic reticulum-Golgi intermediate compartment membrane,63,18780,90,414490,15.44957401490948,3.9883669786588237e-63,8.897126337008145e-63,UniProt Subcellular
GO:0042025,host cell nucleus,4858,18780,6970,414490,15.383076565777873,0.0,0.0,UniProt Subcellular
GO:0044196,host cell nucleolus,191,18780,276,414490,15.273647188652744,9.365854767151644e-187,4.178612126883041e-186,UniProt Subcellular
GO:0044204,host cell nuclear matrix,82,18780,119,414490,15.208464216357468,8.53530015248333e-81,2.152380038452318e-80,UniProt Subcellular
GO:0044169,host cell rough endoplasmic reticulum membrane,14,18780,23,414490,13.434412186877807,8.476713521055805e-14,1.2606394467211198e-13,UniProt Subcellular
GO:0044166,host cell endoplasmic reticulum lumen,21,18780,35,414490,13.242492012779552,7.452408766469861e-20,1.2006658568201443e-19,UniProt Subcellular
GO:0044164,host cell cytosol,12,18780,21,414490,12.611897155028146,1.4936770653679294e-11,2.062696899793807e-11,UniProt Subcellular
GO:0044168,host cell rough endoplasmic reticulum,9,18780,17,414490,11.684551775981959,1.4004529345349933e-08,1.8460515955234005e-08,UniProt Subcellular
GO:0044095,host cell nucleoplasm,36,18780,68,414490,11.684551775981959,2.4394318966828814e-30,4.287486363866882e-30,UniProt Subcellular
GO:0043655,host extracellular space,26,18780,50,414490,11.476826411075614,4.723597542773363e-22,7.827675928024431e-22,UniProt Subcellular
GO:0044155,host caveola,9,18780,18,414490,11.035410010649628,2.6871420076774684e-08,3.4634274765620705e-08,UniProt Subcellular
GO:0005886,plasma membrane,203,18780,426,414490,10.517315643952461,8.939217134210907e-152,3.240466211151454e-151,UniProt Subcellular
GO:0016020,membrane,1275,18780,3226,414490,8.72296823532441,0.0,0.0,UniProt Subcellular
GO:0005576,extracellular region,300,18780,829,414490,7.987027751978018,3.162279781663126e-181,1.3100873381175807e-180,UniProt Subcellular
GO:0009295,nucleoid,37,18780,342,414490,2.38777877423413,1.1967520218966166e-06,1.446075359791745e-06,UniProt Subcellular
GO:0043657,host cell,133,18780,1912,414490,1.535261016125942,1.1709548838851173e-06,1.445008154581634e-06,UniProt Subcellular
