go_term,go_term_label,method_count,method_total,term_total,total_annotations,fold_enrichment,p_value,p_adjusted,method_name
GO:0001172,RNA-templated transcription,2686,7133,2686,414490,58.10879013037992,0.0,0.0,Logical Inference
GO:0035672,oligopeptide transmembrane transport,3,7133,3,414490,58.10879013037992,5.094422580636645e-06,9.116335144297155e-06,Logical Inference
GO:0061025,membrane fusion,3,7133,3,414490,58.10879013037992,5.094422580636645e-06,9.116335144297155e-06,Logical Inference
GO:0071266,'de novo' L-methionine biosynthetic process,2,7133,2,414490,58.10879013037992,0.00029611233016802206,0.0004576281466233068,Logical Inference
GO:0098655,monoatomic cation transmembrane transport,28,7133,28,414490,58.10879013037992,3.78948753543818e-50,1.515795014175272e-49,Logical Inference
GO:0050918,positive chemotaxis,4,7133,4,414490,58.10879013037992,8.763419117648194e-08,1.8622265625002412e-07,Logical Inference
GO:0046835,carbohydrate phosphorylation,12,7133,12,414490,58.10879013037992,6.685695121400793e-22,1.8185090730210158e-21,Logical Inference
GO:0046710,GDP metabolic process,22,7133,22,414490,58.10879013037992,1.488822990434467e-39,5.061998167477188e-39,Logical Inference
GO:0001676,long-chain fatty acid metabolic process,4,7133,4,414490,58.10879013037992,8.763419117648194e-08,1.8622265625002412e-07,Logical Inference
GO:0044650,adhesion of symbiont to host cell,43,7133,43,414490,58.10879013037992,1.2118767439925103e-76,5.886258470820764e-76,Logical Inference
GO:0042780,tRNA 3'-end processing,13,7133,13,414490,58.10879013037992,1.1486456448648251e-23,3.254495993783671e-23,Logical Inference
GO:0042350,GDP-L-fucose biosynthetic process,9,7133,9,414490,58.10879013037992,1.3172508318417977e-16,3.445117560201625e-16,Logical Inference
GO:0035821,modulation of process of another organism,33,7133,33,414490,58.10879013037992,5.602429497431469e-59,2.3810325364083742e-58,Logical Inference
GO:0098869,cellular oxidant detoxification,106,7133,106,414490,58.10879013037992,4.52572059941844e-188,4.3964142965779134e-187,Logical Inference
GO:0106074,aminoacyl-tRNA metabolism involved in translational fidelity,17,7133,17,414490,58.10879013037992,9.994119772360227e-31,2.9547832370456323e-30,Logical Inference
GO:0006170,dAMP biosynthetic process,2,7133,2,414490,58.10879013037992,0.00029611233016802206,0.0004576281466233068,Logical Inference
GO:0099116,tRNA 5'-end processing,27,7133,27,414490,58.10879013037992,2.2102482021886734e-48,8.349826541601655e-48,Logical Inference
GO:0106005,RNA 5'-cap (guanine-N7)-methylation,656,7133,656,414490,58.10879013037992,0.0,0.0,Logical Inference
GO:1903352,L-ornithine transmembrane transport,2,7133,2,414490,58.10879013037992,0.00029611233016802206,0.0004576281466233068,Logical Inference
GO:1902476,chloride transmembrane transport,3,7133,3,414490,58.10879013037992,5.094422580636645e-06,9.116335144297155e-06,Logical Inference
GO:1902475,L-alpha-amino acid transmembrane transport,6,7133,6,414490,58.10879013037992,2.5920967292822268e-11,6.295092056828266e-11,Logical Inference
GO:0009157,deoxyribonucleoside monophosphate biosynthetic process,261,7133,261,414490,58.108790130379916,0.0,0.0,Logical Inference
GO:0046037,GMP metabolic process,22,7133,23,414490,55.582320994276444,3.36809687579025e-38,1.0906218454939857e-37,Logical Inference
GO:0019430,removal of superoxide radicals,55,7133,58,414490,55.10316305467062,2.2126341160940765e-93,1.2538259991199767e-92,Logical Inference
GO:0070098,chemokine-mediated signaling pathway,73,7133,77,414490,55.0901516820485,1.4272234768813362e-123,1.0783466269770096e-122,Logical Inference
GO:0006338,chromatin remodeling,65,7133,70,414490,53.958162263924216,1.7601358722064186e-108,1.0880839937276042e-107,Logical Inference
GO:0043657,host cell,1707,7133,1912,414490,51.878506669748184,0.0,0.0,Logical Inference
GO:0019221,cytokine-mediated signaling pathway,4,7133,5,414490,46.487032104303935,4.3214185818122076e-07,8.904741320097883e-07,Logical Inference
GO:0007010,cytoskeleton organization,7,7133,9,414490,45.19572565696216,1.556640915223239e-11,3.9204289716733427e-11,Logical Inference
GO:0006278,RNA-templated DNA biosynthetic process,147,7133,191,414490,44.72247198516151,1.9591008709340983e-217,2.220314320391978e-216,Logical Inference
GO:0070588,calcium ion transmembrane transport,2,7133,3,414490,38.73919342025328,0.0008781481454314135,0.001326979419763025,Logical Inference
GO:0006869,lipid transport,3,7133,5,414490,34.865274078227955,4.9638756586802304e-05,8.438588619756391e-05,Logical Inference
GO:0098609,cell-cell adhesion,6,7133,10,414490,34.865274078227955,5.129661442175759e-09,1.1627232602265054e-08,Logical Inference
GO:2000142,regulation of DNA-templated transcription initiation,134,7133,228,414490,34.15165735732855,1.5740181680081522e-172,1.3379154428069295e-171,Logical Inference
GO:0071897,DNA biosynthetic process,326,7133,573,414490,33.06014935864547,0.0,0.0,Logical Inference
GO:0033209,tumor necrosis factor-mediated signaling pathway,5,7133,12,414490,24.2119958876583,1.0791707382078082e-06,2.096674577089456e-06,Logical Inference
GO:0060326,cell chemotaxis,41,7133,100,414490,23.824603953455767,3.0826807267975763e-45,1.1032752074854483e-44,Logical Inference
GO:0007165,signal transduction,111,7133,271,414490,23.80101735967591,9.157767134387947e-120,6.227281651383804e-119,Logical Inference
GO:0010468,regulation of gene expression,33,7133,94,414490,20.399894407473802,4.972168031060824e-34,1.5368519368733456e-33,Logical Inference
GO:0006457,protein folding,70,7133,200,414490,20.338076545632973,2.5657243829597392e-70,1.1631283869417484e-69,Logical Inference
GO:0055085,transmembrane transport,14,7133,79,414490,10.297760276269859,8.608750913193775e-11,2.0186036624040576e-10,Logical Inference
GO:0045893,positive regulation of DNA-templated transcription,11,7133,94,414490,6.799964802491267,7.238083640798688e-07,1.4476167281597375e-06,Logical Inference
GO:0006259,DNA metabolic process,176,7133,1513,414490,6.759515573659528,3.3773529749113966e-87,1.766615402261346e-86,Logical Inference
GO:0006357,regulation of transcription by RNA polymerase II,4,7133,43,414490,5.405468849337667,0.006339417939044324,0.009371313475109,Logical Inference
GO:0051726,regulation of cell cycle,9,7133,99,414490,5.282617284579993,5.665156827115141e-05,9.3958698596056e-05,Logical Inference
GO:0006370,7-methylguanosine mRNA capping,51,7133,1503,414490,1.9717553537254664,6.36543292998326e-06,1.1098703570227223e-05,Logical Inference
