go_term,go_term_label,method_count,method_total,term_total,total_annotations,fold_enrichment,p_value,p_adjusted,method_name
GO:0010494,cytoplasmic stress granule,5,8806,5,76960,8.739495798319329,1.9594368825854795e-05,3.6352710584809554e-05,UniProt Subcellular
GO:0042734,presynaptic membrane,4,8806,4,76960,8.739495798319329,0.00017131382042291318,0.00029175505747658614,UniProt Subcellular
GO:0030665,clathrin-coated vesicle membrane,4,8806,4,76960,8.739495798319329,0.00017131382042291318,0.00029175505747658614,UniProt Subcellular
GO:0030670,phagocytic vesicle membrane,10,8806,10,76960,8.739495798319329,3.829746803695108e-10,1.102029182287776e-09,UniProt Subcellular
GO:0030672,synaptic vesicle membrane,5,8806,5,76960,8.739495798319329,1.9594368825854795e-05,3.6352710584809554e-05,UniProt Subcellular
GO:0005814,centriole,11,8806,11,76960,8.739495798319329,4.377706677752069e-11,1.4028560035523675e-10,UniProt Subcellular
GO:0005791,rough endoplasmic reticulum,8,8806,8,76960,8.739495798319329,2.9301219274539795e-08,7.123227444327778e-08,UniProt Subcellular
GO:0009925,basal plasma membrane,4,8806,4,76960,8.739495798319329,0.00017131382042291318,0.00029175505747658614,UniProt Subcellular
GO:0010008,endosome membrane,30,8806,30,76960,8.739495798319329,5.449873209547364e-29,2.7444004376649224e-28,UniProt Subcellular
GO:0000407,phagophore assembly site,4,8806,4,76960,8.739495798319329,0.00017131382042291318,0.00029175505747658614,UniProt Subcellular
GO:0014069,postsynaptic density,5,8806,5,76960,8.739495798319329,1.9594368825854795e-05,3.6352710584809554e-05,UniProt Subcellular
GO:0030663,COPI-coated vesicle membrane,9,8806,9,76960,8.739495798319329,3.35003803900355e-09,8.91236534904718e-09,UniProt Subcellular
GO:0016607,nuclear speck,17,8806,17,76960,8.739495798319329,9.745130312852139e-17,4.04136286503574e-16,UniProt Subcellular
GO:0015030,Cajal body,4,8806,4,76960,8.739495798319329,0.00017131382042291318,0.00029175505747658614,UniProt Subcellular
GO:0005912,adherens junction,25,8806,25,76960,8.739495798319329,2.816595762889214e-24,1.2810967824754166e-23,UniProt Subcellular
GO:0055038,recycling endosome membrane,9,8806,9,76960,8.739495798319329,3.35003803900355e-09,8.91236534904718e-09,UniProt Subcellular
GO:0001891,phagocytic cup,5,8806,5,76960,8.739495798319329,1.9594368825854795e-05,3.6352710584809554e-05,UniProt Subcellular
GO:0043204,perikaryon,85,8806,85,76960,8.739495798319329,6.564172503836207e-81,1.0283870256010058e-79,UniProt Subcellular
GO:0005637,nuclear inner membrane,9,8806,9,76960,8.739495798319329,3.35003803900355e-09,8.91236534904718e-09,UniProt Subcellular
GO:0030496,midbody,12,8806,12,76960,8.739495798319327,5.00356472869426e-12,1.7207381140143674e-11,UniProt Subcellular
GO:0060170,ciliary membrane,126,8806,126,76960,8.739495798319327,1.0640020013162471e-119,2.143204031222726e-118,UniProt Subcellular
GO:0030658,transport vesicle membrane,3,8806,3,76960,8.739495798319327,0.001497648265169389,0.0023205319273503716,UniProt Subcellular
GO:0048471,perinuclear region of cytoplasm,53,8806,53,76960,8.739495798319327,1.0987636092179377e-50,1.0328377926648614e-49,UniProt Subcellular
