go_term,go_term_label,method_count,method_total,term_total,total_annotations,fold_enrichment,p_value,p_adjusted,method_name
GO:0016125,sterol metabolic process,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0032161,cleavage apparatus septin structure,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0030695,GTPase regulator activity,7,5609,7,49333,8.795328935639152,2.4478999010414135e-07,5.555372830974541e-06,ARBA
GO:0031090,organelle membrane,3,5609,3,49333,8.795328935639152,0.0014690542460155114,0.008137066569455408,ARBA
GO:0031105,septin complex,7,5609,7,49333,8.795328935639152,2.4478999010414135e-07,5.555372830974541e-06,ARBA
GO:0031201,SNARE complex,8,5609,8,49333,8.795328935639152,2.780102835347282e-08,1.0815923887993948e-06,ARBA
GO:0031298,replication fork protection complex,8,5609,8,49333,8.795328935639152,2.780102835347282e-08,1.0815923887993948e-06,ARBA
GO:0031391,Elg1 RFC-like complex,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0031499,TRAMP complex,3,5609,3,49333,8.795328935639152,0.0014690542460155114,0.008137066569455408,ARBA
GO:0031502,dolichyl-phosphate-mannose-protein mannosyltransferase complex,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0031507,heterochromatin formation,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0031588,nucleotide-activated protein kinase complex,3,5609,3,49333,8.795328935639152,0.0014690542460155114,0.008137066569455408,ARBA
GO:0031669,cellular response to nutrient levels,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0031981,nuclear lumen,8,5609,8,49333,8.795328935639152,2.780102835347282e-08,1.0815923887993948e-06,ARBA
GO:0032126,eisosome,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0032541,cortical endoplasmic reticulum,6,5609,6,49333,8.795328935639152,2.1550519082396895e-06,3.556924058650154e-05,ARBA
GO:0030473,nuclear migration along microtubule,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0032545,CURI complex,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0032878,regulation of establishment or maintenance of cell polarity,3,5609,3,49333,8.795328935639152,0.0014690542460155114,0.008137066569455408,ARBA
GO:0032991,protein-containing complex,41,5609,41,49333,8.795328935639152,1.695277192914307e-39,2.7700829332219777e-36,ARBA
GO:0033254,vacuolar transporter chaperone complex,5,5609,5,49333,8.795328935639152,1.8969379109501683e-05,0.00024406272019626574,ARBA
GO:0033554,cellular response to stress,16,5609,16,49333,8.795328935639152,7.651087730687497e-16,1.1365343047221245e-13,ARBA
GO:0034044,exomer complex,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0034198,cellular response to amino acid starvation,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0034456,UTP-C complex,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0034475,U4 snRNA 3'-end processing,3,5609,3,49333,8.795328935639152,0.0014690542460155114,0.008137066569455408,ARBA
GO:0034490,basic amino acid transmembrane import into vacuole,3,5609,3,49333,8.795328935639152,0.0014690542460155114,0.008137066569455408,ARBA
GO:0034605,cellular response to heat,6,5609,6,49333,8.795328935639152,2.1550519082396895e-06,3.556924058650154e-05,ARBA
GO:0034727,piecemeal microautophagy of the nucleus,7,5609,7,49333,8.795328935639152,2.4478999010414135e-07,5.555372830974541e-06,ARBA
GO:0034728,nucleosome organization,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0030684,preribosome,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0030466,silent mating-type cassette heterochromatin formation,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
GO:0010499,proteasomal ubiquitin-independent protein catabolic process,16,5609,16,49333,8.795328935639152,7.651087730687497e-16,1.1365343047221245e-13,ARBA
GO:0015856,cytosine transport,3,5609,3,49333,8.795328935639152,0.0014690542460155114,0.008137066569455408,ARBA
GO:0010604,positive regulation of macromolecule metabolic process,7,5609,7,49333,8.795328935639152,2.4478999010414135e-07,5.555372830974541e-06,ARBA
GO:0010607,negative regulation of cytoplasmic mRNA processing body assembly,3,5609,3,49333,8.795328935639152,0.0014690542460155114,0.008137066569455408,ARBA
GO:0010608,post-transcriptional regulation of gene expression,4,5609,4,49333,8.795328935639152,0.00016694745800046546,0.0013504561701621809,ARBA
