evidence_type,supporting_references,count_star(),swissprot_count,other_count,reference_name
IEA,GO_REF:0000002,281452,6632,274820,InterPro2GO
IEA,GO_REF:0000118,197244,4476,192768,TreeGrafter
IEA,GO_REF:0000043,186801,5888,180913,UniProt Keywords
IEA,GO_REF:0000104,43749,3717,40032,Manual Transfer
IEA,GO_REF:0000044,32416,1037,31379,UniProt Subcellular
IEA,GO_REF:0000117,30165,419,29746,ARBA
IEA,GO_REF:0000003,20981,103,20878,EC2GO
IBA,GO_REF:0000033,8393,2526,5867,PAINT
IEA,GO_REF:0000116,3768,515,3253,Rhea Mappings
IEA,GO_REF:0000041,3140,150,2990,UniProt UniPathway
IEA,GO_REF:0000108,278,20,258,Logical Inference
