evidence_type,supporting_references,count_star(),swissprot_count,other_count,reference_name
IEA,GO_REF:0000002,802876,3687,799189,InterPro2GO
IEA,GO_REF:0000118,644165,5295,638870,TreeGrafter
IEA,GO_REF:0000043,513019,3904,509115,UniProt Keywords
IEA,GO_REF:0000044,107627,247,107380,UniProt Subcellular
IEA,GO_REF:0000104,100452,2599,97853,Manual Transfer
IEA,GO_REF:0000117,92131,970,91161,ARBA
IEA,GO_REF:0000003,51080,55,51025,EC2GO
IEA,GO_REF:0000116,10144,272,9872,Rhea Mappings
IEA,GO_REF:0000041,9210,95,9115,UniProt UniPathway
IEA,GO_REF:0000108,2704,49,2655,Logical Inference
IBA,GO_REF:0000033,2199,269,1930,PAINT
