evidence_type,supporting_references,count_star(),swissprot_count,other_count,reference_name
IBA,GO_REF:0000033,13300,4501,8799,PAINT
IEA,GO_REF:0000043,4129,2075,2054,UniProt Keywords
IEA,GO_REF:0000002,3219,1150,2069,InterPro2GO
IEA,GO_REF:0000044,2217,1019,1198,UniProt Subcellular
IEA,GO_REF:0000117,870,82,788,ARBA
IEA,GO_REF:0000115,490,0,490,Rfam
IEA,GO_REF:0000108,283,135,148,Logical Inference
IEA,GO_REF:0000104,173,136,37,Manual Transfer
IEA,GO_REF:0000116,163,138,25,Rhea Mappings
IEA,GO_REF:0000003,162,30,132,EC2GO
IEA,GO_REF:0000041,94,38,56,UniProt UniPathway
