evidence_type,supporting_references,count_star(),swissprot_count,other_count,reference_name
IEA,GO_REF:0000118,9621520,9181,9612339,TreeGrafter
IEA,GO_REF:0000002,5176986,10208,5166778,InterPro2GO
IEA,GO_REF:0000043,3077699,16343,3061356,UniProt Keywords
IEA,GO_REF:0000044,1265727,10474,1255253,UniProt Subcellular
IEA,GO_REF:0000117,1092506,1911,1090595,ARBA
IEA,GO_REF:0000107,845352,14238,831114,Compara
IEA,GO_REF:0000003,284511,682,283829,EC2GO
IEA,GO_REF:0000104,236639,2681,233958,Manual Transfer
IBA,GO_REF:0000033,109131,16391,92740,PAINT
IEA,GO_REF:0000108,77521,399,77122,Logical Inference
IEA,GO_REF:0000041,51093,616,50477,UniProt UniPathway
IEA,GO_REF:0000116,34726,1510,33216,Rhea Mappings
