evidence_type,supporting_references,count_star(),swissprot_count,other_count,reference_name
IEA,GO_REF:0000115,53692,0,53692,Rfam
IEA,GO_REF:0000107,40245,40245,0,Compara
IBA,GO_REF:0000033,19098,18916,182,PAINT
IEA,GO_REF:0000043,11415,11342,73,UniProt Keywords
IEA,GO_REF:0000044,6704,6675,29,UniProt Subcellular
IEA,GO_REF:0000002,4797,4756,41,InterPro2GO
IEA,GO_REF:0000117,730,717,13,ARBA
IEA,GO_REF:0000116,707,707,0,Rhea Mappings
IEA,GO_REF:0000108,677,610,67,Logical Inference
IEA,GO_REF:0000041,234,234,0,UniProt UniPathway
IEA,GO_REF:0000003,198,198,0,EC2GO
IEA,GO_REF:0000104,115,112,3,Manual Transfer
