evidence_type,supporting_references,count_star(),swissprot_count,other_count,reference_name
IBA,GO_REF:0000033,20497,16100,4397,PAINT
IEA,GO_REF:0000043,11468,9732,1736,UniProt Keywords
IEA,GO_REF:0000115,8381,0,8381,Rfam
IEA,GO_REF:0000044,6721,6230,491,UniProt Subcellular
IEA,GO_REF:0000002,5300,4363,937,InterPro2GO
IEA,GO_REF:0000107,4957,4897,60,Compara
IEA,GO_REF:0000117,1440,634,806,ARBA
IEA,GO_REF:0000116,668,667,1,Rhea Mappings
IEA,GO_REF:0000108,613,553,60,Logical Inference
IEA,GO_REF:0000041,227,222,5,UniProt UniPathway
IEA,GO_REF:0000003,213,191,22,EC2GO
IEA,GO_REF:0000104,141,132,9,Manual Transfer
