evidence_type,supporting_references,count_star(),label,reference_name
IEA,GO_REF:0000002,4731677,"GO_REF:0000002
(InterPro2GO)",InterPro2GO
IEA,GO_REF:0000118,4538288,"GO_REF:0000118
(TreeGrafter)",TreeGrafter
IEA,GO_REF:0000043,2997952,"GO_REF:0000043
(UniProt Keywords)",UniProt Keywords
IEA,GO_REF:0000104,705267,"GO_REF:0000104
(Manual Transfer)",Manual Transfer
IEA,GO_REF:0000044,704456,"GO_REF:0000044
(UniProt Subcellular)",UniProt Subcellular
IEA,GO_REF:0000117,555012,"GO_REF:0000117
(ARBA)",ARBA
IEA,GO_REF:0000003,315625,"GO_REF:0000003
(EC2GO)",EC2GO
IEA,GO_REF:0000116,68863,"GO_REF:0000116
(Rhea Mappings)",Rhea Mappings
IEA,GO_REF:0000041,66978,"GO_REF:0000041
(UniProt UniPathway)",UniProt UniPathway
IEA,GO_REF:0000108,30404,"GO_REF:0000108
(Logical Inference)",Logical Inference
