evidence_type,supporting_references,count_star(),label,reference_name
IEA,GO_REF:0000043,11463,"GO_REF:0000043
(UniProt Keywords)",UniProt Keywords
IEA,GO_REF:0000115,10891,"GO_REF:0000115
(Rfam)",Rfam
IEA,GO_REF:0000002,6692,"GO_REF:0000002
(InterPro2GO)",InterPro2GO
IEA,GO_REF:0000107,3572,"GO_REF:0000107
(Compara)",Compara
IEA,GO_REF:0000044,3411,"GO_REF:0000044
(UniProt Subcellular)",UniProt Subcellular
IEA,GO_REF:0000117,2052,"GO_REF:0000117
(ARBA)",ARBA
IEA,GO_REF:0000108,608,"GO_REF:0000108
(Logical Inference)",Logical Inference
IEA,GO_REF:0000116,401,"GO_REF:0000116
(Rhea Mappings)",Rhea Mappings
IEA,GO_REF:0000041,242,"GO_REF:0000041
(UniProt UniPathway)",UniProt UniPathway
IEA,GO_REF:0000104,226,"GO_REF:0000104
(Manual Transfer)",Manual Transfer
IEA,GO_REF:0000003,141,"GO_REF:0000003
(EC2GO)",EC2GO
