evidence_type,supporting_references,count_star(),swissprot_count,other_count,reference_name
IEA,GO_REF:0000043,80218,11436,68782,UniProt Keywords
IEA,GO_REF:0000002,62918,3681,59237,InterPro2GO
IEA,GO_REF:0000118,17084,793,16291,TreeGrafter
IEA,GO_REF:0000044,14410,5180,9230,UniProt Subcellular
IEA,GO_REF:0000104,6419,1135,5284,Manual Transfer
IEA,GO_REF:0000117,2555,65,2490,ARBA
IEA,GO_REF:0000003,2112,311,1801,EC2GO
IEA,GO_REF:0000108,1761,359,1402,Logical Inference
IEA,GO_REF:0000116,587,313,274,Rhea Mappings
IEA,GO_REF:0000041,140,36,104,UniProt UniPathway
