evidence_type,supporting_references,count_star(),swissprot_count,other_count,reference_name
IBA,GO_REF:0000033,3836,3836,0,PAINT
IEA,GO_REF:0000043,2470,2470,0,UniProt Keywords
IEA,GO_REF:0000002,1264,1264,0,InterPro2GO
IEA,GO_REF:0000044,680,680,0,UniProt Subcellular
IEA,GO_REF:0000116,297,297,0,Rhea Mappings
IEA,GO_REF:0000108,184,156,28,Logical Inference
IEA,GO_REF:0000041,124,124,0,UniProt UniPathway
IEA,GO_REF:0000003,82,82,0,EC2GO
IEA,GO_REF:0000104,74,74,0,Manual Transfer
IEA,GO_REF:0000115,43,0,43,Rfam
IEA,GO_REF:0000117,33,33,0,ARBA
