evidence_type,supporting_references,count_star(),swissprot_count,other_count,reference_name
IBA,GO_REF:0000033,53087,5563,47524,PAINT
IEA,GO_REF:0000043,10811,1835,8976,UniProt Keywords
IEA,GO_REF:0000044,8362,1812,6550,UniProt Subcellular
IEA,GO_REF:0000002,8244,932,7312,InterPro2GO
IEA,GO_REF:0000117,4407,229,4178,ARBA
IEA,GO_REF:0000003,888,48,840,EC2GO
IEA,GO_REF:0000104,398,127,271,Manual Transfer
IEA,GO_REF:0000108,347,75,272,Logical Inference
IEA,GO_REF:0000041,213,75,138,UniProt UniPathway
IEA,GO_REF:0000116,103,102,1,Rhea Mappings
IEA,GO_REF:0000115,94,0,94,Rfam
IEA,GO_REF:0000107,36,9,27,Compara
