evidence_type,supporting_references,go_term,go_term_label,association_count,method_name
IEA,GO_REF:0000002,GO:0016887,ATP hydrolysis activity,14541,InterPro2GO
IEA,GO_REF:0000002,GO:0055085,transmembrane transport,11631,InterPro2GO
IEA,GO_REF:0000002,GO:0003677,DNA binding,9831,InterPro2GO
IEA,GO_REF:0000002,GO:0003735,structural constituent of ribosome,6719,InterPro2GO
IEA,GO_REF:0000002,GO:0006355,regulation of DNA-templated transcription,6162,InterPro2GO
IEA,GO_REF:0000002,GO:0003676,nucleic acid binding,5902,InterPro2GO
IEA,GO_REF:0000002,GO:0016491,oxidoreductase activity,4365,InterPro2GO
IEA,GO_REF:0000002,GO:0022857,transmembrane transporter activity,4364,InterPro2GO
IEA,GO_REF:0000002,GO:0016020,membrane,4338,InterPro2GO
IEA,GO_REF:0000002,GO:0003824,catalytic activity,4240,InterPro2GO
IEA,GO_REF:0000002,GO:0003700,DNA-binding transcription factor activity,3804,InterPro2GO
IEA,GO_REF:0000002,GO:0005524,ATP binding,3482,InterPro2GO
IEA,GO_REF:0000002,GO:0003723,RNA binding,3399,InterPro2GO
IEA,GO_REF:0000002,GO:0005975,carbohydrate metabolic process,3229,InterPro2GO
IEA,GO_REF:0000002,GO:0030170,pyridoxal phosphate binding,3220,InterPro2GO
IEA,GO_REF:0000002,GO:0051287,NAD binding,2899,InterPro2GO
IEA,GO_REF:0000002,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",2827,InterPro2GO
IEA,GO_REF:0000002,GO:0008270,zinc ion binding,2798,InterPro2GO
IEA,GO_REF:0000002,GO:0009055,electron transfer activity,2658,InterPro2GO
IEA,GO_REF:0000002,GO:0046872,metal ion binding,2578,InterPro2GO
IEA,GO_REF:0000002,GO:0008324,monoatomic cation transmembrane transporter activity,2506,InterPro2GO
IEA,GO_REF:0000002,GO:0000155,phosphorelay sensor kinase activity,2420,InterPro2GO
IEA,GO_REF:0000002,GO:0140359,ABC-type transporter activity,2416,InterPro2GO
IEA,GO_REF:0000002,GO:0000166,nucleotide binding,2404,InterPro2GO
IEA,GO_REF:0000002,GO:0050660,flavin adenine dinucleotide binding,2118,InterPro2GO
IEA,GO_REF:0000002,GO:0043190,ATP-binding cassette (ABC) transporter complex,2067,InterPro2GO
IEA,GO_REF:0000002,GO:0000160,phosphorelay signal transduction system,2063,InterPro2GO
IEA,GO_REF:0000002,GO:0000287,magnesium ion binding,2028,InterPro2GO
IEA,GO_REF:0000002,GO:0050661,NADP binding,1932,InterPro2GO
IEA,GO_REF:0000002,GO:0004803,transposase activity,1753,InterPro2GO
IEA,GO_REF:0000002,GO:0006313,DNA transposition,1737,InterPro2GO
IEA,GO_REF:0000002,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,1684,InterPro2GO
IEA,GO_REF:0000002,GO:0005507,copper ion binding,1600,InterPro2GO
IEA,GO_REF:0000002,GO:0020037,heme binding,1592,InterPro2GO
IEA,GO_REF:0000002,GO:0006520,amino acid metabolic process,1547,InterPro2GO
IEA,GO_REF:0000002,GO:0051536,iron-sulfur cluster binding,1525,InterPro2GO
IEA,GO_REF:0000002,GO:0006813,potassium ion transport,1516,InterPro2GO
IEA,GO_REF:0000002,GO:0005506,iron ion binding,1492,InterPro2GO
IEA,GO_REF:0000002,GO:0016787,hydrolase activity,1440,InterPro2GO
IEA,GO_REF:0000002,GO:0008137,NADH dehydrogenase (ubiquinone) activity,1320,InterPro2GO
IEA,GO_REF:0000002,GO:0015833,peptide transport,1273,InterPro2GO
IEA,GO_REF:0000002,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",1265,InterPro2GO
IEA,GO_REF:0000002,GO:0017025,TBP-class protein binding,1265,InterPro2GO
IEA,GO_REF:0000002,GO:0005737,cytoplasm,1256,InterPro2GO
IEA,GO_REF:0000002,GO:0071949,FAD binding,1240,InterPro2GO
IEA,GO_REF:0000002,GO:0006457,protein folding,1228,InterPro2GO
IEA,GO_REF:0000002,GO:1902600,proton transmembrane transport,1214,InterPro2GO
IEA,GO_REF:0000002,GO:0046983,protein dimerization activity,1206,InterPro2GO
IEA,GO_REF:0000002,GO:0030976,thiamine pyrophosphate binding,1205,InterPro2GO
IEA,GO_REF:0000002,GO:0070897,transcription preinitiation complex assembly,1191,InterPro2GO
IEA,GO_REF:0000002,GO:0140664,ATP-dependent DNA damage sensor activity,1090,InterPro2GO
IEA,GO_REF:0000002,GO:0006352,DNA-templated transcription initiation,1060,InterPro2GO
IEA,GO_REF:0000002,GO:0004252,serine-type endopeptidase activity,1006,InterPro2GO
IEA,GO_REF:0000002,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",995,InterPro2GO
IEA,GO_REF:0000002,GO:0016788,"hydrolase activity, acting on ester bonds",995,InterPro2GO
IEA,GO_REF:0000002,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,987,InterPro2GO
IEA,GO_REF:0000002,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",979,InterPro2GO
IEA,GO_REF:0000002,GO:0015074,DNA integration,976,InterPro2GO
IEA,GO_REF:0000002,GO:0006508,proteolysis,951,InterPro2GO
IEA,GO_REF:0000002,GO:0010181,FMN binding,938,InterPro2GO
IEA,GO_REF:0000002,GO:0005694,chromosome,921,InterPro2GO
IEA,GO_REF:0000002,GO:0000049,tRNA binding,906,InterPro2GO
IEA,GO_REF:0000002,GO:0042773,ATP synthesis coupled electron transport,903,InterPro2GO
IEA,GO_REF:0000002,GO:0140662,ATP-dependent protein folding chaperone,897,InterPro2GO
IEA,GO_REF:0000002,GO:0005315,phosphate transmembrane transporter activity,895,InterPro2GO
IEA,GO_REF:0000002,GO:0008381,mechanosensitive monoatomic ion channel activity,892,InterPro2GO
IEA,GO_REF:0000002,GO:0004540,RNA nuclease activity,867,InterPro2GO
IEA,GO_REF:0000002,GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",867,InterPro2GO
IEA,GO_REF:0000002,GO:0005198,structural molecule activity,863,InterPro2GO
IEA,GO_REF:0000002,GO:0051082,unfolded protein binding,858,InterPro2GO
IEA,GO_REF:0000002,GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,855,InterPro2GO
IEA,GO_REF:0000002,GO:0016651,"oxidoreductase activity, acting on NAD(P)H",846,InterPro2GO
IEA,GO_REF:0000002,GO:0006351,DNA-templated transcription,842,InterPro2GO
IEA,GO_REF:0000002,GO:0016226,iron-sulfur cluster assembly,833,InterPro2GO
IEA,GO_REF:0000002,GO:0002161,aminoacyl-tRNA deacylase activity,832,InterPro2GO
IEA,GO_REF:0000002,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",825,InterPro2GO
IEA,GO_REF:0000002,GO:0006935,chemotaxis,806,InterPro2GO
IEA,GO_REF:0000002,GO:0005886,plasma membrane,799,InterPro2GO
IEA,GO_REF:0000002,GO:0003924,GTPase activity,795,InterPro2GO
IEA,GO_REF:0000002,GO:0005525,GTP binding,789,InterPro2GO
IEA,GO_REF:0000002,GO:0046914,transition metal ion binding,776,InterPro2GO
IEA,GO_REF:0000002,GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",755,InterPro2GO
IEA,GO_REF:0000002,GO:0006281,DNA repair,748,InterPro2GO
IEA,GO_REF:0000002,GO:0030246,carbohydrate binding,747,InterPro2GO
IEA,GO_REF:0000002,GO:0042910,xenobiotic transmembrane transporter activity,747,InterPro2GO
IEA,GO_REF:0000002,GO:0030643,intracellular phosphate ion homeostasis,734,InterPro2GO
IEA,GO_REF:0000002,GO:0004888,transmembrane signaling receptor activity,733,InterPro2GO
IEA,GO_REF:0000002,GO:0045936,negative regulation of phosphate metabolic process,730,InterPro2GO
IEA,GO_REF:0000002,GO:0097367,carbohydrate derivative binding,708,InterPro2GO
IEA,GO_REF:0000002,GO:0000271,polysaccharide biosynthetic process,707,InterPro2GO
IEA,GO_REF:0000002,GO:0035435,phosphate ion transmembrane transport,692,InterPro2GO
IEA,GO_REF:0000002,GO:0070403,NAD+ binding,656,InterPro2GO
IEA,GO_REF:0000002,GO:0016151,nickel cation binding,641,InterPro2GO
IEA,GO_REF:0000002,GO:0008170,N-methyltransferase activity,640,InterPro2GO
IEA,GO_REF:0000002,GO:0015297,antiporter activity,631,InterPro2GO
IEA,GO_REF:0000002,GO:0007165,signal transduction,625,InterPro2GO
IEA,GO_REF:0000002,GO:0043546,molybdopterin cofactor binding,621,InterPro2GO
IEA,GO_REF:0000002,GO:0048038,quinone binding,617,InterPro2GO
IEA,GO_REF:0000002,GO:0030983,mismatched DNA binding,616,InterPro2GO
IEA,GO_REF:0000002,GO:0004222,metalloendopeptidase activity,616,InterPro2GO
IEA,GO_REF:0000002,GO:0015079,potassium ion transmembrane transporter activity,615,InterPro2GO
IEA,GO_REF:0000002,GO:0006412,translation,580,InterPro2GO
IEA,GO_REF:0000002,GO:0031419,cobalamin binding,571,InterPro2GO
IEA,GO_REF:0000002,GO:0043565,sequence-specific DNA binding,546,InterPro2GO
IEA,GO_REF:0000002,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",545,InterPro2GO
IEA,GO_REF:0000002,GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",537,InterPro2GO
IEA,GO_REF:0000002,GO:0016209,antioxidant activity,534,InterPro2GO
IEA,GO_REF:0000002,GO:0004519,endonuclease activity,533,InterPro2GO
IEA,GO_REF:0000002,GO:0016625,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor",523,InterPro2GO
IEA,GO_REF:0000002,GO:0033178,"proton-transporting two-sector ATPase complex, catalytic domain",521,InterPro2GO
IEA,GO_REF:0000002,GO:0008654,phospholipid biosynthetic process,513,InterPro2GO
IEA,GO_REF:0000002,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,510,InterPro2GO
IEA,GO_REF:0000002,GO:0046982,protein heterodimerization activity,500,InterPro2GO
IEA,GO_REF:0000002,GO:0033179,"proton-transporting V-type ATPase, V0 domain",499,InterPro2GO
IEA,GO_REF:0000002,GO:0016597,amino acid binding,475,InterPro2GO
IEA,GO_REF:0000002,GO:0043022,ribosome binding,470,InterPro2GO
IEA,GO_REF:0000002,GO:0016539,intein-mediated protein splicing,468,InterPro2GO
IEA,GO_REF:0000002,GO:0006465,signal peptide processing,466,InterPro2GO
IEA,GO_REF:0000002,GO:0009063,amino acid catabolic process,465,InterPro2GO
IEA,GO_REF:0000002,GO:0042256,cytosolic ribosome assembly,464,InterPro2GO
IEA,GO_REF:0000002,GO:0009307,DNA restriction-modification system,459,InterPro2GO
IEA,GO_REF:0000002,GO:0016779,nucleotidyltransferase activity,458,InterPro2GO
IEA,GO_REF:0000002,GO:0016818,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",450,InterPro2GO
IEA,GO_REF:0000002,GO:0000272,polysaccharide catabolic process,438,InterPro2GO
IEA,GO_REF:0000002,GO:0016757,glycosyltransferase activity,438,InterPro2GO
IEA,GO_REF:0000002,GO:0042254,ribosome biogenesis,435,InterPro2GO
IEA,GO_REF:0000002,GO:0006777,Mo-molybdopterin cofactor biosynthetic process,432,InterPro2GO
IEA,GO_REF:0000002,GO:0006812,monoatomic cation transport,429,InterPro2GO
IEA,GO_REF:0000002,GO:0006450,regulation of translational fidelity,424,InterPro2GO
IEA,GO_REF:0000002,GO:0008643,carbohydrate transport,424,InterPro2GO
IEA,GO_REF:0000002,GO:0006099,tricarboxylic acid cycle,420,InterPro2GO
IEA,GO_REF:0000002,GO:0009236,cobalamin biosynthetic process,420,InterPro2GO
IEA,GO_REF:0000002,GO:0051920,peroxiredoxin activity,400,InterPro2GO
IEA,GO_REF:0000002,GO:0006629,lipid metabolic process,395,InterPro2GO
IEA,GO_REF:0000002,GO:0004518,nuclease activity,394,InterPro2GO
IEA,GO_REF:0000002,GO:0004129,cytochrome-c oxidase activity,394,InterPro2GO
IEA,GO_REF:0000002,GO:0032549,ribonucleoside binding,390,InterPro2GO
IEA,GO_REF:0000002,GO:0016829,lyase activity,388,InterPro2GO
IEA,GO_REF:0000002,GO:0004812,aminoacyl-tRNA ligase activity,387,InterPro2GO
IEA,GO_REF:0000002,GO:0003746,translation elongation factor activity,387,InterPro2GO
IEA,GO_REF:0000002,GO:0008237,metallopeptidase activity,377,InterPro2GO
IEA,GO_REF:0000002,GO:0008901,ferredoxin hydrogenase activity,377,InterPro2GO
IEA,GO_REF:0000002,GO:0005509,calcium ion binding,375,InterPro2GO
IEA,GO_REF:0000002,GO:0019674,NAD+ metabolic process,363,InterPro2GO
IEA,GO_REF:0000002,GO:0016780,"phosphotransferase activity, for other substituted phosphate groups",361,InterPro2GO
IEA,GO_REF:0000002,GO:0006535,cysteine biosynthetic process from serine,355,InterPro2GO
IEA,GO_REF:0000002,GO:0022904,respiratory electron transport chain,352,InterPro2GO
IEA,GO_REF:0000002,GO:0030151,molybdenum ion binding,339,InterPro2GO
IEA,GO_REF:0000002,GO:0003684,damaged DNA binding,337,InterPro2GO
IEA,GO_REF:0000002,GO:0015935,small ribosomal subunit,333,InterPro2GO
IEA,GO_REF:0000002,GO:0015689,molybdate ion transport,332,InterPro2GO
IEA,GO_REF:0000002,GO:0001522,pseudouridine synthesis,332,InterPro2GO
IEA,GO_REF:0000002,GO:0008143,poly(A) binding,330,InterPro2GO
IEA,GO_REF:0000002,GO:0022625,cytosolic large ribosomal subunit,329,InterPro2GO
IEA,GO_REF:0000002,GO:0140663,ATP-dependent FeS chaperone activity,328,InterPro2GO
IEA,GO_REF:0000002,GO:0019752,carboxylic acid metabolic process,327,InterPro2GO
IEA,GO_REF:0000002,GO:0016836,hydro-lyase activity,325,InterPro2GO
IEA,GO_REF:0000002,GO:0009231,riboflavin biosynthetic process,321,InterPro2GO
IEA,GO_REF:0000002,GO:0004359,glutaminase activity,319,InterPro2GO
IEA,GO_REF:0000002,GO:0030001,metal ion transport,314,InterPro2GO
IEA,GO_REF:0000002,GO:0004576,oligosaccharyl transferase activity,312,InterPro2GO
IEA,GO_REF:0000002,GO:0003871,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,311,InterPro2GO
IEA,GO_REF:0000002,GO:0008641,ubiquitin-like modifier activating enzyme activity,310,InterPro2GO
IEA,GO_REF:0000002,GO:0006511,ubiquitin-dependent protein catabolic process,308,InterPro2GO
IEA,GO_REF:0000002,GO:0016208,AMP binding,303,InterPro2GO
IEA,GO_REF:0000002,GO:0003952,NAD+ synthase (glutamine-hydrolyzing) activity,303,InterPro2GO
IEA,GO_REF:0000002,GO:0006284,base-excision repair,300,InterPro2GO
IEA,GO_REF:0000002,GO:0015934,large ribosomal subunit,298,InterPro2GO
IEA,GO_REF:0000002,GO:0009380,excinuclease repair complex,297,InterPro2GO
IEA,GO_REF:0000002,GO:0008173,RNA methyltransferase activity,296,InterPro2GO
IEA,GO_REF:0000002,GO:0008703,5-amino-6-(5-phosphoribosylamino)uracil reductase activity,288,InterPro2GO
IEA,GO_REF:0000002,GO:0006189,'de novo' IMP biosynthetic process,286,InterPro2GO
IEA,GO_REF:0000002,GO:0003725,double-stranded RNA binding,285,InterPro2GO
IEA,GO_REF:0000002,GO:0009113,purine nucleobase biosynthetic process,284,InterPro2GO
IEA,GO_REF:0000002,GO:0005960,glycine cleavage complex,284,InterPro2GO
IEA,GO_REF:0000002,GO:0004298,threonine-type endopeptidase activity,283,InterPro2GO
IEA,GO_REF:0000002,GO:0016783,sulfurtransferase activity,280,InterPro2GO
IEA,GO_REF:0000002,GO:0009116,nucleoside metabolic process,279,InterPro2GO
IEA,GO_REF:0000002,GO:0006631,fatty acid metabolic process,278,InterPro2GO
IEA,GO_REF:0000002,GO:0007017,microtubule-based process,276,InterPro2GO
IEA,GO_REF:0000002,GO:0005874,microtubule,276,InterPro2GO
IEA,GO_REF:0000002,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",275,InterPro2GO
IEA,GO_REF:0000002,GO:0016831,carboxy-lyase activity,275,InterPro2GO
IEA,GO_REF:0000002,GO:0008199,ferric iron binding,274,InterPro2GO
IEA,GO_REF:0000002,GO:0012506,vesicle membrane,272,InterPro2GO
IEA,GO_REF:0000002,GO:0003899,DNA-directed RNA polymerase activity,271,InterPro2GO
IEA,GO_REF:0000002,GO:0008276,protein methyltransferase activity,268,InterPro2GO
IEA,GO_REF:0000002,GO:0043215,daunorubicin transport,262,InterPro2GO
IEA,GO_REF:0000002,GO:1900753,doxorubicin transport,262,InterPro2GO
IEA,GO_REF:0000002,GO:0004792,thiosulfate-cyanide sulfurtransferase activity,258,InterPro2GO
IEA,GO_REF:0000002,GO:0009408,response to heat,258,InterPro2GO
IEA,GO_REF:0000002,GO:0015658,branched-chain amino acid transmembrane transporter activity,256,InterPro2GO
IEA,GO_REF:0000002,GO:0006542,glutamine biosynthetic process,256,InterPro2GO
IEA,GO_REF:0000002,GO:0031412,gas vesicle organization,254,InterPro2GO
