evidence_type,supporting_references,go_term,go_term_label,association_count,method_name
IEA,GO_REF:0000002,GO:0016887,ATP hydrolysis activity,45259,InterPro2GO
IEA,GO_REF:0000002,GO:0055085,transmembrane transport,37367,InterPro2GO
IEA,GO_REF:0000002,GO:0003677,DNA binding,33519,InterPro2GO
IEA,GO_REF:0000002,GO:0006355,regulation of DNA-templated transcription,33479,InterPro2GO
IEA,GO_REF:0000002,GO:0003700,DNA-binding transcription factor activity,33390,InterPro2GO
IEA,GO_REF:0000002,GO:0005975,carbohydrate metabolic process,18513,InterPro2GO
IEA,GO_REF:0000002,GO:0016020,membrane,15413,InterPro2GO
IEA,GO_REF:0000002,GO:0003676,nucleic acid binding,13826,InterPro2GO
IEA,GO_REF:0000002,GO:0022857,transmembrane transporter activity,13287,InterPro2GO
IEA,GO_REF:0000002,GO:0043565,sequence-specific DNA binding,12568,InterPro2GO
IEA,GO_REF:0000002,GO:0003735,structural constituent of ribosome,11473,InterPro2GO
IEA,GO_REF:0000002,GO:0003824,catalytic activity,11367,InterPro2GO
IEA,GO_REF:0000002,GO:0005524,ATP binding,11163,InterPro2GO
IEA,GO_REF:0000002,GO:0016491,oxidoreductase activity,10818,InterPro2GO
IEA,GO_REF:0000002,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",9777,InterPro2GO
IEA,GO_REF:0000002,GO:0000160,phosphorelay signal transduction system,9298,InterPro2GO
IEA,GO_REF:0000002,GO:0046872,metal ion binding,8825,InterPro2GO
IEA,GO_REF:0000002,GO:0000155,phosphorelay sensor kinase activity,8664,InterPro2GO
IEA,GO_REF:0000002,GO:0006352,DNA-templated transcription initiation,8227,InterPro2GO
IEA,GO_REF:0000002,GO:0008270,zinc ion binding,8160,InterPro2GO
IEA,GO_REF:0000002,GO:0030170,pyridoxal phosphate binding,7388,InterPro2GO
IEA,GO_REF:0000002,GO:0051287,NAD binding,6977,InterPro2GO
IEA,GO_REF:0000002,GO:0005506,iron ion binding,6692,InterPro2GO
IEA,GO_REF:0000002,GO:0010181,FMN binding,6013,InterPro2GO
IEA,GO_REF:0000002,GO:0043190,ATP-binding cassette (ABC) transporter complex,5957,InterPro2GO
IEA,GO_REF:0000002,GO:0140359,ABC-type transporter activity,5679,InterPro2GO
IEA,GO_REF:0000002,GO:0042910,xenobiotic transmembrane transporter activity,5183,InterPro2GO
IEA,GO_REF:0000002,GO:0003723,RNA binding,4734,InterPro2GO
IEA,GO_REF:0000002,GO:0015074,DNA integration,4722,InterPro2GO
IEA,GO_REF:0000002,GO:0050660,flavin adenine dinucleotide binding,4608,InterPro2GO
IEA,GO_REF:0000002,GO:0030246,carbohydrate binding,4554,InterPro2GO
IEA,GO_REF:0000002,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",4520,InterPro2GO
IEA,GO_REF:0000002,GO:0006313,DNA transposition,4315,InterPro2GO
IEA,GO_REF:0000002,GO:0004803,transposase activity,4278,InterPro2GO
IEA,GO_REF:0000002,GO:0006508,proteolysis,4142,InterPro2GO
IEA,GO_REF:0000002,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",4044,InterPro2GO
IEA,GO_REF:0000002,GO:0008982,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,3974,InterPro2GO
IEA,GO_REF:0000002,GO:0050661,NADP binding,3631,InterPro2GO
IEA,GO_REF:0000002,GO:0009055,electron transfer activity,3542,InterPro2GO
IEA,GO_REF:0000002,GO:0015297,antiporter activity,3509,InterPro2GO
IEA,GO_REF:0000002,GO:0000287,magnesium ion binding,3490,InterPro2GO
IEA,GO_REF:0000002,GO:0046983,protein dimerization activity,3293,InterPro2GO
IEA,GO_REF:0000002,GO:0000166,nucleotide binding,3268,InterPro2GO
IEA,GO_REF:0000002,GO:0051536,iron-sulfur cluster binding,3229,InterPro2GO
IEA,GO_REF:0000002,GO:0009847,spore germination,2985,InterPro2GO
IEA,GO_REF:0000002,GO:0097367,carbohydrate derivative binding,2974,InterPro2GO
IEA,GO_REF:0000002,GO:0000156,phosphorelay response regulator activity,2922,InterPro2GO
IEA,GO_REF:0000002,GO:0016787,hydrolase activity,2906,InterPro2GO
IEA,GO_REF:0000002,GO:0140664,ATP-dependent DNA damage sensor activity,2897,InterPro2GO
IEA,GO_REF:0000002,GO:0009253,peptidoglycan catabolic process,2846,InterPro2GO
IEA,GO_REF:0000002,GO:0006520,amino acid metabolic process,2819,InterPro2GO
IEA,GO_REF:0000002,GO:0004222,metalloendopeptidase activity,2703,InterPro2GO
IEA,GO_REF:0000002,GO:0005737,cytoplasm,2665,InterPro2GO
IEA,GO_REF:0000002,GO:0045892,negative regulation of DNA-templated transcription,2606,InterPro2GO
IEA,GO_REF:0000002,GO:0015833,peptide transport,2576,InterPro2GO
IEA,GO_REF:0000002,GO:0008324,monoatomic cation transmembrane transporter activity,2526,InterPro2GO
IEA,GO_REF:0000002,GO:0006260,DNA replication,2503,InterPro2GO
IEA,GO_REF:0000002,GO:0007165,signal transduction,2299,InterPro2GO
IEA,GO_REF:0000002,GO:0046914,transition metal ion binding,2210,InterPro2GO
IEA,GO_REF:0000002,GO:0003684,damaged DNA binding,2193,InterPro2GO
IEA,GO_REF:0000002,GO:0140662,ATP-dependent protein folding chaperone,2190,InterPro2GO
IEA,GO_REF:0000002,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,2173,InterPro2GO
IEA,GO_REF:0000002,GO:0006310,DNA recombination,2163,InterPro2GO
IEA,GO_REF:0000002,GO:0006457,protein folding,2106,InterPro2GO
IEA,GO_REF:0000002,GO:0031419,cobalamin binding,2060,InterPro2GO
