evidence_type,supporting_references,go_term,go_term_label,association_count,method_name
IEA,GO_REF:0000002,GO:0005506,iron ion binding,129,InterPro2GO
IEA,GO_REF:0000002,GO:0020037,heme binding,107,InterPro2GO
IEA,GO_REF:0000002,GO:0016887,ATP hydrolysis activity,107,InterPro2GO
IEA,GO_REF:0000002,GO:0005509,calcium ion binding,93,InterPro2GO
IEA,GO_REF:0000002,GO:0003676,nucleic acid binding,86,InterPro2GO
IEA,GO_REF:0000002,GO:0005576,extracellular region,85,InterPro2GO
IEA,GO_REF:0000002,GO:0008270,zinc ion binding,84,InterPro2GO
IEA,GO_REF:0000002,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",80,InterPro2GO
IEA,GO_REF:0000002,GO:0003677,DNA binding,75,InterPro2GO
IEA,GO_REF:0000002,GO:0005975,carbohydrate metabolic process,68,InterPro2GO
IEA,GO_REF:0000002,GO:0008061,chitin binding,57,InterPro2GO
IEA,GO_REF:0000002,GO:0046983,protein dimerization activity,52,InterPro2GO
IEA,GO_REF:0000002,GO:0005524,ATP binding,45,InterPro2GO
IEA,GO_REF:0000002,GO:0003723,RNA binding,40,InterPro2GO
IEA,GO_REF:0000002,GO:0035556,intracellular signal transduction,40,InterPro2GO
IEA,GO_REF:0000002,GO:0007165,signal transduction,37,InterPro2GO
IEA,GO_REF:0000002,GO:0006508,proteolysis,36,InterPro2GO
IEA,GO_REF:0000002,GO:0050660,flavin adenine dinucleotide binding,35,InterPro2GO
IEA,GO_REF:0000002,GO:0140662,ATP-dependent protein folding chaperone,29,InterPro2GO
IEA,GO_REF:0000002,GO:0006886,intracellular protein transport,29,InterPro2GO
IEA,GO_REF:0000002,GO:0140359,ABC-type transporter activity,28,InterPro2GO
IEA,GO_REF:0000002,GO:0000287,magnesium ion binding,27,InterPro2GO
IEA,GO_REF:0000002,GO:0016020,membrane,26,InterPro2GO
IEA,GO_REF:0000002,GO:0004867,serine-type endopeptidase inhibitor activity,26,InterPro2GO
IEA,GO_REF:0000002,GO:0051287,NAD binding,25,InterPro2GO
IEA,GO_REF:0000002,GO:0031267,small GTPase binding,25,InterPro2GO
IEA,GO_REF:0000002,GO:0046982,protein heterodimerization activity,24,InterPro2GO
IEA,GO_REF:0000002,GO:0030170,pyridoxal phosphate binding,23,InterPro2GO
IEA,GO_REF:0000002,GO:0030246,carbohydrate binding,23,InterPro2GO
IEA,GO_REF:0000002,GO:0007166,cell surface receptor signaling pathway,23,InterPro2GO
IEA,GO_REF:0000002,GO:0046872,metal ion binding,23,InterPro2GO
IEA,GO_REF:0000002,GO:0055085,transmembrane transport,22,InterPro2GO
IEA,GO_REF:0000002,GO:0022857,transmembrane transporter activity,21,InterPro2GO
IEA,GO_REF:0000002,GO:0006355,regulation of DNA-templated transcription,20,InterPro2GO
IEA,GO_REF:0000002,GO:0043565,sequence-specific DNA binding,19,InterPro2GO
IEA,GO_REF:0000002,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",19,InterPro2GO
IEA,GO_REF:0000002,GO:0016579,protein deubiquitination,19,InterPro2GO
IEA,GO_REF:0000002,GO:0003924,GTPase activity,18,InterPro2GO
IEA,GO_REF:0000002,GO:0005737,cytoplasm,17,InterPro2GO
IEA,GO_REF:0000002,GO:0071949,FAD binding,17,InterPro2GO
IEA,GO_REF:0000002,GO:0030145,manganese ion binding,17,InterPro2GO
IEA,GO_REF:0000002,GO:0030431,sleep,16,InterPro2GO
IEA,GO_REF:0000002,GO:0005634,nucleus,16,InterPro2GO
IEA,GO_REF:0000002,GO:0032222,"regulation of synaptic transmission, cholinergic",16,InterPro2GO
IEA,GO_REF:0000002,GO:0004888,transmembrane signaling receptor activity,15,InterPro2GO
IEA,GO_REF:0000002,GO:0000166,nucleotide binding,15,InterPro2GO
