evidence_type,supporting_references,go_term,go_term_label,association_count,method_name
IEA,GO_REF:0000002,GO:0008270,zinc ion binding,260802,InterPro2GO
IEA,GO_REF:0000002,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",149938,InterPro2GO
IEA,GO_REF:0000002,GO:0005506,iron ion binding,135319,InterPro2GO
IEA,GO_REF:0000002,GO:0003676,nucleic acid binding,131878,InterPro2GO
IEA,GO_REF:0000002,GO:0006351,DNA-templated transcription,131666,InterPro2GO
IEA,GO_REF:0000002,GO:0020037,heme binding,127949,InterPro2GO
IEA,GO_REF:0000002,GO:0016887,ATP hydrolysis activity,127163,InterPro2GO
IEA,GO_REF:0000002,GO:0003677,DNA binding,122119,InterPro2GO
IEA,GO_REF:0000002,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",109876,InterPro2GO
IEA,GO_REF:0000002,GO:0055085,transmembrane transport,105543,InterPro2GO
IEA,GO_REF:0000002,GO:0005975,carbohydrate metabolic process,102718,InterPro2GO
IEA,GO_REF:0000002,GO:0005524,ATP binding,101086,InterPro2GO
IEA,GO_REF:0000002,GO:0006412,translation,94609,InterPro2GO
IEA,GO_REF:0000002,GO:0050660,flavin adenine dinucleotide binding,86489,InterPro2GO
IEA,GO_REF:0000002,GO:0071949,FAD binding,78359,InterPro2GO
IEA,GO_REF:0000002,GO:0022857,transmembrane transporter activity,68270,InterPro2GO
IEA,GO_REF:0000002,GO:0006355,regulation of DNA-templated transcription,59127,InterPro2GO
IEA,GO_REF:0000002,GO:0003735,structural constituent of ribosome,57868,InterPro2GO
IEA,GO_REF:0000002,GO:0003723,RNA binding,52827,InterPro2GO
IEA,GO_REF:0000002,GO:0016491,oxidoreductase activity,49288,InterPro2GO
IEA,GO_REF:0000002,GO:0003700,DNA-binding transcription factor activity,45036,InterPro2GO
IEA,GO_REF:0000002,GO:0003924,GTPase activity,43091,InterPro2GO
IEA,GO_REF:0000002,GO:0030170,pyridoxal phosphate binding,40852,InterPro2GO
IEA,GO_REF:0000002,GO:0005509,calcium ion binding,37473,InterPro2GO
IEA,GO_REF:0000002,GO:0003824,catalytic activity,36975,InterPro2GO
IEA,GO_REF:0000002,GO:0004672,protein kinase activity,36109,InterPro2GO
IEA,GO_REF:0000002,GO:0046983,protein dimerization activity,34391,InterPro2GO
IEA,GO_REF:0000002,GO:0050661,NADP binding,34152,InterPro2GO
IEA,GO_REF:0000002,GO:0016020,membrane,33993,InterPro2GO
IEA,GO_REF:0000002,GO:0140359,ABC-type transporter activity,33228,InterPro2GO
IEA,GO_REF:0000002,GO:0046982,protein heterodimerization activity,32438,InterPro2GO
IEA,GO_REF:0000002,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",32359,InterPro2GO
IEA,GO_REF:0000002,GO:0000287,magnesium ion binding,31660,InterPro2GO
IEA,GO_REF:0000002,GO:0006886,intracellular protein transport,29705,InterPro2GO
IEA,GO_REF:0000002,GO:0016787,hydrolase activity,29651,InterPro2GO
IEA,GO_REF:0000002,GO:0051287,NAD binding,28323,InterPro2GO
IEA,GO_REF:0000002,GO:0006629,lipid metabolic process,27428,InterPro2GO
IEA,GO_REF:0000002,GO:0010181,FMN binding,26269,InterPro2GO
IEA,GO_REF:0000002,GO:0140662,ATP-dependent protein folding chaperone,25393,InterPro2GO
IEA,GO_REF:0000002,GO:0007165,signal transduction,24861,InterPro2GO
IEA,GO_REF:0000002,GO:0006457,protein folding,23976,InterPro2GO
IEA,GO_REF:0000002,GO:0004497,monooxygenase activity,23466,InterPro2GO
IEA,GO_REF:0000002,GO:0000166,nucleotide binding,22723,InterPro2GO
IEA,GO_REF:0000002,GO:0015074,DNA integration,22521,InterPro2GO
IEA,GO_REF:0000002,GO:0006508,proteolysis,21876,InterPro2GO
IEA,GO_REF:0000002,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",21770,InterPro2GO
IEA,GO_REF:0000002,GO:0046872,metal ion binding,21180,InterPro2GO
IEA,GO_REF:0000002,GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",20742,InterPro2GO
IEA,GO_REF:0000002,GO:0030246,carbohydrate binding,20412,InterPro2GO
IEA,GO_REF:0000002,GO:0016192,vesicle-mediated transport,20208,InterPro2GO
IEA,GO_REF:0000002,GO:0005525,GTP binding,19276,InterPro2GO
IEA,GO_REF:0000002,GO:0051082,unfolded protein binding,18168,InterPro2GO
IEA,GO_REF:0000002,GO:0005507,copper ion binding,17292,InterPro2GO
IEA,GO_REF:0000002,GO:0006357,regulation of transcription by RNA polymerase II,16540,InterPro2GO
IEA,GO_REF:0000002,GO:0005737,cytoplasm,16395,InterPro2GO
IEA,GO_REF:0000002,GO:0004499,"N,N-dimethylaniline monooxygenase activity",16162,InterPro2GO
IEA,GO_REF:0000002,GO:0031267,small GTPase binding,15703,InterPro2GO
IEA,GO_REF:0000002,GO:0016651,"oxidoreductase activity, acting on NAD(P)H",15574,InterPro2GO
IEA,GO_REF:0000002,GO:0005634,nucleus,15363,InterPro2GO
IEA,GO_REF:0000002,GO:0006511,ubiquitin-dependent protein catabolic process,14852,InterPro2GO
IEA,GO_REF:0000002,GO:0031177,phosphopantetheine binding,14444,InterPro2GO
IEA,GO_REF:0000002,GO:0140664,ATP-dependent DNA damage sensor activity,14058,InterPro2GO
