evidence_type,supporting_references,go_term,go_term_label,association_count,method_name
IEA,GO_REF:0000002,GO:0003677,DNA binding,7076,InterPro2GO
IEA,GO_REF:0000002,GO:0003676,nucleic acid binding,3208,InterPro2GO
IEA,GO_REF:0000002,GO:0005524,ATP binding,2620,InterPro2GO
IEA,GO_REF:0000002,GO:0005198,structural molecule activity,2527,InterPro2GO
IEA,GO_REF:0000002,GO:0006351,DNA-templated transcription,1934,InterPro2GO
IEA,GO_REF:0000002,GO:0039694,viral RNA genome replication,1732,InterPro2GO
IEA,GO_REF:0000002,GO:0008270,zinc ion binding,1518,InterPro2GO
IEA,GO_REF:0000002,GO:0006355,regulation of DNA-templated transcription,1380,InterPro2GO
IEA,GO_REF:0000002,GO:0003723,RNA binding,1360,InterPro2GO
IEA,GO_REF:0000002,GO:0019079,viral genome replication,1350,InterPro2GO
IEA,GO_REF:0000002,GO:0006260,DNA replication,1313,InterPro2GO
IEA,GO_REF:0000002,GO:0009253,peptidoglycan catabolic process,968,InterPro2GO
IEA,GO_REF:0000002,GO:0016787,hydrolase activity,913,InterPro2GO
IEA,GO_REF:0000002,GO:0016887,ATP hydrolysis activity,902,InterPro2GO
IEA,GO_REF:0000002,GO:0006261,DNA-templated DNA replication,799,InterPro2GO
IEA,GO_REF:0000002,GO:0006310,DNA recombination,771,InterPro2GO
IEA,GO_REF:0000002,GO:0006281,DNA repair,732,InterPro2GO
IEA,GO_REF:0000002,GO:0004519,endonuclease activity,685,InterPro2GO
IEA,GO_REF:0000002,GO:0016998,cell wall macromolecule catabolic process,673,InterPro2GO
IEA,GO_REF:0000002,GO:0016020,membrane,670,InterPro2GO
IEA,GO_REF:0000002,GO:0019031,viral envelope,617,InterPro2GO
IEA,GO_REF:0000002,GO:0019069,viral capsid assembly,613,InterPro2GO
IEA,GO_REF:0000002,GO:0019028,viral capsid,571,InterPro2GO
IEA,GO_REF:0000002,GO:0004482,mRNA 5'-cap (guanine-N7-)-methyltransferase activity,561,InterPro2GO
IEA,GO_REF:0000002,GO:0016032,viral process,553,InterPro2GO
IEA,GO_REF:0000002,GO:0016788,"hydrolase activity, acting on ester bonds",545,InterPro2GO
IEA,GO_REF:0000002,GO:0000166,nucleotide binding,519,InterPro2GO
IEA,GO_REF:0000002,GO:0000287,magnesium ion binding,502,InterPro2GO
IEA,GO_REF:0000002,GO:0015074,DNA integration,478,InterPro2GO
IEA,GO_REF:0000002,GO:0003700,DNA-binding transcription factor activity,435,InterPro2GO
IEA,GO_REF:0000002,GO:0005576,extracellular region,431,InterPro2GO
IEA,GO_REF:0000002,GO:0008408,3'-5' exonuclease activity,415,InterPro2GO
IEA,GO_REF:0000002,GO:0006396,RNA processing,414,InterPro2GO
IEA,GO_REF:0000002,GO:0051276,chromosome organization,414,InterPro2GO
IEA,GO_REF:0000002,GO:0003697,single-stranded DNA binding,410,InterPro2GO
IEA,GO_REF:0000002,GO:0009263,deoxyribonucleotide biosynthetic process,384,InterPro2GO
IEA,GO_REF:0000002,GO:0003910,DNA ligase (ATP) activity,380,InterPro2GO
IEA,GO_REF:0000002,GO:0008745,N-acetylmuramoyl-L-alanine amidase activity,377,InterPro2GO
IEA,GO_REF:0000002,GO:0003899,DNA-directed RNA polymerase activity,368,InterPro2GO
IEA,GO_REF:0000002,GO:0008170,N-methyltransferase activity,346,InterPro2GO
IEA,GO_REF:0000002,GO:0009307,DNA restriction-modification system,338,InterPro2GO
IEA,GO_REF:0000002,GO:0016556,mRNA modification,302,InterPro2GO
IEA,GO_REF:0000002,GO:0016888,"DNA endonuclease activity, producing 5'-phosphomonoesters",289,InterPro2GO
IEA,GO_REF:0000002,GO:0044659,viral release from host cell by cytolysis,282,InterPro2GO
IEA,GO_REF:0000002,GO:0019058,viral life cycle,280,InterPro2GO
IEA,GO_REF:0000002,GO:0043139,5'-3' DNA helicase activity,279,InterPro2GO
IEA,GO_REF:0000002,GO:0003724,RNA helicase activity,276,InterPro2GO
IEA,GO_REF:0000002,GO:0005506,iron ion binding,270,InterPro2GO
IEA,GO_REF:0000002,GO:0003824,catalytic activity,255,InterPro2GO
IEA,GO_REF:0000002,GO:0005975,carbohydrate metabolic process,255,InterPro2GO
IEA,GO_REF:0000002,GO:0004252,serine-type endopeptidase activity,250,InterPro2GO
IEA,GO_REF:0000002,GO:0003678,DNA helicase activity,240,InterPro2GO
IEA,GO_REF:0000002,GO:0006352,DNA-templated transcription initiation,235,InterPro2GO
IEA,GO_REF:0000002,GO:0019073,viral DNA genome packaging,233,InterPro2GO
IEA,GO_REF:0000002,GO:0019068,virion assembly,223,InterPro2GO
IEA,GO_REF:0000002,GO:0006259,DNA metabolic process,222,InterPro2GO
IEA,GO_REF:0000002,GO:0008061,chitin binding,217,InterPro2GO
IEA,GO_REF:0000002,GO:0031418,L-ascorbic acid binding,211,InterPro2GO
IEA,GO_REF:0000002,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",202,InterPro2GO
IEA,GO_REF:0000002,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",197,InterPro2GO
IEA,GO_REF:0000002,GO:0016817,"hydrolase activity, acting on acid anhydrides",195,InterPro2GO
IEA,GO_REF:0000002,GO:0004672,protein kinase activity,191,InterPro2GO
